"","date","All ages","1-4","5-14","15-24","25-44","45-64","65-74","75+"
"1",2020-02-17,0.00428286981738888,2020-02-17,2020-02-17,2020-02-17,2020-02-17,2020-02-17,2020-02-17,2020-02-17
"2",2020-02-18,0.00427903167800057,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18
"3",2020-02-19,0.00427804700212671,2020-02-19,2020-02-19,2020-02-19,2020-02-19,2020-02-19,2020-02-19,2020-02-19
"4",2020-02-20,0.00427580345979759,2020-02-20,2020-02-20,2020-02-20,2020-02-20,2020-02-20,2020-02-20,2020-02-20
"5",2020-02-21,0.00427423781449662,2020-02-21,2020-02-21,2020-02-21,2020-02-21,2020-02-21,2020-02-21,2020-02-21
"6",2020-02-22,0.00427310337060023,2020-02-22,2020-02-22,2020-02-22,2020-02-22,2020-02-22,2020-02-22,2020-02-22
"7",2020-02-23,0.00427114184618655,2020-02-23,2020-02-23,2020-02-23,2020-02-23,2020-02-23,2020-02-23,2020-02-23
"8",2020-02-24,0.00427100912644914,2020-02-24,2020-02-24,2020-02-24,2020-02-24,2020-02-24,2020-02-24,2020-02-24
"9",2020-02-25,0.00426913395855778,2020-02-25,2020-02-25,2020-02-25,2020-02-25,2020-02-25,2020-02-25,2020-02-25
"10",2020-02-26,0.00426818802391299,2020-02-26,2020-02-26,2020-02-26,2020-02-26,2020-02-26,2020-02-26,2020-02-26
"11",2020-02-27,0.00426527501018377,2020-02-27,2020-02-27,2020-02-27,2020-02-27,2020-02-27,2020-02-27,2020-02-27
"12",2020-02-28,0.0042626355005391,2020-02-28,2020-02-28,2020-02-28,2020-02-28,2020-02-28,2020-02-28,2020-02-28
"13",2020-02-29,0.00425977814926732,2020-02-29,2020-02-29,2020-02-29,2020-02-29,2020-02-29,2020-02-29,2020-02-29
"14",2020-03-01,0.00425725294395366,2020-03-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01
"15",2020-03-02,0.00425461162977025,2020-03-02,2020-03-02,2020-03-02,2020-03-02,2020-03-02,2020-03-02,2020-03-02
"16",2020-03-03,0.00425221527285058,2020-03-03,2020-03-03,2020-03-03,2020-03-03,2020-03-03,2020-03-03,2020-03-03
"17",2020-03-04,0.00425257712524451,2020-03-04,2020-03-04,2020-03-04,2020-03-04,2020-03-04,2020-03-04,2020-03-04
"18",2020-03-05,0.00424993867800625,2020-03-05,2020-03-05,2020-03-05,2020-03-05,2020-03-05,2020-03-05,2020-03-05
"19",2020-03-06,0.00424928029830037,2020-03-06,2020-03-06,2020-03-06,2020-03-06,2020-03-06,2020-03-06,2020-03-06
"20",2020-03-07,0.00424896781178068,2020-03-07,2020-03-07,2020-03-07,2020-03-07,2020-03-07,2020-03-07,2020-03-07
"21",2020-03-08,0.00425006080274086,2020-03-08,2020-03-08,2020-03-08,2020-03-08,2020-03-08,2020-03-08,2020-03-08
"22",2020-03-09,0.00425066845089658,2020-03-09,2020-03-09,2020-03-09,2020-03-09,2020-03-09,2020-03-09,2020-03-09
"23",2020-03-10,0.0042499004613558,2020-03-10,2020-03-10,2020-03-10,2020-03-10,2020-03-10,2020-03-10,2020-03-10
"24",2020-03-11,0.00425133712419763,2020-03-11,2020-03-11,2020-03-11,2020-03-11,2020-03-11,2020-03-11,2020-03-11
"25",2020-03-12,0.00425344928823879,2020-03-12,2020-03-12,2020-03-12,2020-03-12,2020-03-12,2020-03-12,2020-03-12
"26",2020-03-13,0.00425494076166592,2020-03-13,2020-03-13,2020-03-13,2020-03-13,2020-03-13,2020-03-13,2020-03-13
"27",2020-03-14,0.00425714819046969,2020-03-14,2020-03-14,2020-03-14,2020-03-14,2020-03-14,2020-03-14,2020-03-14
"28",2020-03-15,0.00426312030128483,2020-03-15,2020-03-15,2020-03-15,2020-03-15,2020-03-15,2020-03-15,2020-03-15
"29",2020-03-16,0.00427081689987724,2020-03-16,2020-03-16,2020-03-16,2020-03-16,2020-03-16,2020-03-16,2020-03-16
"30",2020-03-17,0.00428004286528391,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-17
"31",2020-03-18,0.00428979061019636,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-03-18
"32",2020-03-19,0.00430468661650164,2020-03-19,2020-03-19,2020-03-19,2020-03-19,2020-03-19,2020-03-19,2020-03-19
"33",2020-03-20,0.00432410814260655,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20
"34",2020-03-21,0.00434774910842663,2020-03-21,2020-03-21,2020-03-21,2020-03-21,2020-03-21,2020-03-21,2020-03-21
"35",2020-03-22,0.00437709122516037,2020-03-22,2020-03-22,2020-03-22,2020-03-22,2020-03-22,2020-03-22,2020-03-22
"36",2020-03-23,0.00441424112772026,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23
"37",2020-03-24,0.00514876655454348,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-24
"38",2020-03-25,0.0081961059686994,2020-03-25,2020-03-25,2020-03-25,2020-03-25,2020-03-25,2020-03-25,2020-03-25
"39",2020-03-26,0.00824894832698069,2020-03-26,2020-03-26,2020-03-26,2020-03-26,2020-03-26,2020-03-26,2020-03-26
"40",2020-03-27,0.00834468050397072,2020-03-27,2020-03-27,2020-03-27,2020-03-27,2020-03-27,2020-03-27,2020-03-27
"41",2020-03-28,0.00848834748275841,2020-03-28,2020-03-28,2020-03-28,2020-03-28,2020-03-28,2020-03-28,2020-03-28
"42",2020-03-29,0.00866668595294735,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2020-03-29
"43",2020-03-30,0.00887460805244426,2020-03-30,2020-03-30,2020-03-30,2020-03-30,2020-03-30,2020-03-30,2020-03-30
"44",2020-03-31,0.00886407756170191,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31
"45",2020-04-01,0.00876175594972956,2020-04-01,2020-04-01,2020-04-01,2020-04-01,2020-04-01,2020-04-01,2020-04-01
"46",2020-04-02,0.00896586373490434,2020-04-02,2020-04-02,2020-04-02,2020-04-02,2020-04-02,2020-04-02,2020-04-02
"47",2020-04-03,0.00914006712652743,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-04-03
"48",2020-04-04,0.00928488181801828,2020-04-04,2020-04-04,2020-04-04,2020-04-04,2020-04-04,2020-04-04,2020-04-04
"49",2020-04-05,0.00941364793287933,2020-04-05,2020-04-05,2020-04-05,2020-04-05,2020-04-05,2020-04-05,2020-04-05
"50",2020-04-06,0.00952592377703191,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06
"51",2020-04-07,0.00956139831172337,2020-04-07,2020-04-07,2020-04-07,2020-04-07,2020-04-07,2020-04-07,2020-04-07
"52",2020-04-08,0.00958355564969363,2020-04-08,2020-04-08,2020-04-08,2020-04-08,2020-04-08,2020-04-08,2020-04-08
"53",2020-04-09,0.00967017374513343,2020-04-09,2020-04-09,2020-04-09,2020-04-09,2020-04-09,2020-04-09,2020-04-09
"54",2020-04-10,0.00975166911282087,2020-04-10,2020-04-10,2020-04-10,2020-04-10,2020-04-10,2020-04-10,2020-04-10
"55",2020-04-11,0.00982151396623559,2020-04-11,2020-04-11,2020-04-11,2020-04-11,2020-04-11,2020-04-11,2020-04-11
"56",2020-04-12,0.0098875481647181,2020-04-12,2020-04-12,2020-04-12,2020-04-12,2020-04-12,2020-04-12,2020-04-12
"57",2020-04-13,0.00994569147015371,2020-04-13,2020-04-13,2020-04-13,2020-04-13,2020-04-13,2020-04-13,2020-04-13
"58",2020-04-14,0.0099031936453243,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14
"59",2020-04-15,0.00986566627166314,2020-04-15,2020-04-15,2020-04-15,2020-04-15,2020-04-15,2020-04-15,2020-04-15
"60",2020-04-16,0.0099187811923634,2020-04-16,2020-04-16,2020-04-16,2020-04-16,2020-04-16,2020-04-16,2020-04-16
"61",2020-04-17,0.00996123453859134,2020-04-17,2020-04-17,2020-04-17,2020-04-17,2020-04-17,2020-04-17,2020-04-17
"62",2020-04-18,0.009998008552088,2020-04-18,2020-04-18,2020-04-18,2020-04-18,2020-04-18,2020-04-18,2020-04-18
