,date,new_cases,Patients in hospital,average
60002,2020-09-01,2252.0,1343.0,1756.7142857142858
60003,2020-09-02,3193.0,1365.0,1933.857142857143
60004,2020-09-03,2661.0,1403.0,2018.142857142857
60005,2020-09-04,2623.0,1398.0,2131.1428571428573
60006,2020-09-05,1505.0,1390.0,2216.1428571428573
60007,2020-09-06,2177.0,1497.0,2369.8571428571427
60008,2020-09-07,3388.0,1578.0,2542.714285714286
60009,2020-09-08,3489.0,1561.0,2719.4285714285716
60010,2020-09-09,3996.0,1587.0,2834.1428571428573
60011,2020-09-10,4161.0,1623.0,3048.4285714285716
60012,2020-09-11,3975.0,1616.0,3241.5714285714284
60013,2020-09-12,2719.0,1648.0,3415.0
60014,2020-09-13,3175.0,1787.0,3557.5714285714284
60015,2020-09-14,4805.0,1745.0,3760.0
60016,2020-09-15,5539.0,1917.0,4052.8571428571427
60017,2020-09-16,4574.0,1836.0,4135.428571428572
60018,2020-09-17,5385.0,1804.0,4310.285714285715
60019,2020-09-18,5340.0,1798.0,4505.285714285715
60020,2020-09-19,3809.0,1774.0,4661.0
60021,2020-09-20,2579.0,1915.0,4575.857142857143
60022,2020-09-21,3866.0,1864.0,4441.714285714285
60023,2020-09-22,7021.0,1867.0,4653.428571428572
60024,2020-09-23,7125.0,1813.0,5017.857142857143
60025,2020-09-24,8234.0,1780.0,5424.857142857143
60026,2020-09-25,8390.0,1687.0,5860.571428571428
60027,2020-09-26,5882.0,1669.0,6156.714285714285
60028,2020-09-27,3414.0,1806.0,6276.0
60029,2020-09-28,1159.0,1730.0,5889.285714285715
60030,2020-09-29,4991.0,1625.0,5599.285714285715
60031,2020-09-30,9078.0,1544.0,5878.285714285715
60032,2020-10-01,7731.0,1473.0,5806.428571428572
60033,2020-10-02,7058.0,1358.0,5616.142857142857
60034,2020-10-03,2593.0,1290.0,5146.285714285715
60035,2020-10-04,2937.0,1340.0,5078.142857142857
60036,2020-10-05,5721.0,1274.0,5729.857142857143
60037,2020-10-06,4724.0,1225.0,5691.714285714285
60038,2020-10-07,4165.0,1185.0,4989.857142857143
60039,2020-10-08,3755.0,1119.0,4421.857142857143
60040,2020-10-09,2963.0,1059.0,3836.8571428571427
60041,2020-10-10,916.0,1039.0,3597.285714285714
60042,2020-10-11,1646.0,1062.0,3412.8571428571427
60043,2020-10-12,3169.0,983.0,3048.285714285714
60044,2020-10-13,2336.0,917.0,2707.1428571428573
60045,2020-10-14,2117.0,897.0,2414.5714285714284
60046,2020-10-15,1612.0,858.0,2108.4285714285716
60047,2020-10-16,1500.0,787.0,1899.4285714285713
60048,2020-10-17,411.0,759.0,1827.2857142857142
60049,2020-10-18,922.0,800.0,1723.857142857143
60050,2020-10-19,1517.0,755.0,1487.857142857143
60051,2020-10-20,1193.0,731.0,1324.5714285714287
60052,2020-10-21,1172.0,705.0,1189.5714285714287
60053,2020-10-22,1032.0,696.0,1106.7142857142858
60054,2020-10-23,849.0,669.0,1013.7142857142857
60055,2020-10-24,246.0,654.0,990.1428571428571
60056,2020-10-25,607.0,690.0,945.1428571428571
60057,2020-10-26,884.0,690.0,854.7142857142857
60058,2020-10-27,887.0,675.0,811.0
60059,2020-10-28,723.0,656.0,746.8571428571429
60060,2020-10-29,644.0,640.0,691.4285714285714
60061,2020-10-30,680.0,619.0,667.2857142857143
60062,2020-10-31,228.0,637.0,664.7142857142857
60063,2020-11-01,658.0,682.0,672.0
60064,2020-11-02,788.0,665.0,658.2857142857143
60065,2020-11-03,846.0,644.0,652.4285714285714
60066,2020-11-04,769.0,636.0,659.0
60067,2020-11-05,570.0,663.0,648.4285714285714
60068,2020-11-06,691.0,651.0,650.0
60069,2020-11-07,212.0,648.0,647.7142857142857
60070,2020-11-08,534.0,660.0,630.0
60071,2020-11-09,719.0,638.0,620.1428571428571
60072,2020-11-10,675.0,608.0,595.7142857142857
60073,2020-11-11,763.0,620.0,594.8571428571429
60074,2020-11-12,836.0,629.0,632.8571428571429
60075,2020-11-13,761.0,588.0,642.8571428571429
60076,2020-11-14,292.0,588.0,654.2857142857143
60077,2020-11-15,625.0,643.0,667.2857142857143
60078,2020-11-16,873.0,647.0,689.2857142857143
60079,2020-11-17,829.0,656.0,711.2857142857143
60080,2020-11-18,795.0,665.0,715.8571428571429
60081,2020-11-19,770.0,682.0,706.4285714285714
60082,2020-11-20,774.0,704.0,708.2857142857143
60083,2020-11-21,422.0,699.0,726.8571428571429
60084,2020-11-22,765.0,736.0,746.8571428571429
60085,2020-11-23,959.0,729.0,759.1428571428571
60086,2020-11-24,857.0,734.0,763.1428571428571
60087,2020-11-25,1079.0,745.0,803.7142857142857
60088,2020-11-26,1085.0,764.0,848.7142857142857
60089,2020-11-27,1032.0,772.0,885.5714285714286
60090,2020-11-28,580.0,779.0,908.1428571428571
60091,2020-11-29,1025.0,866.0,945.2857142857143
60092,2020-11-30,1258.0,911.0,988.0
60093,2020-12-01,1198.0,927.0,1036.7142857142858
60094,2020-12-02,1579.0,927.0,1108.142857142857
60095,2020-12-03,1438.0,962.0,1158.5714285714287
60096,2020-12-04,695.0,981.0,1110.4285714285713
60097,2020-12-05,1725.0,999.0,1274.0
60098,2020-12-06,1080.0,1091.0,1281.857142857143
60099,2020-12-07,1891.0,1102.0,1372.2857142857142
60100,2020-12-08,1488.0,1153.0,1413.7142857142858
60101,2020-12-09,1986.0,1165.0,1471.857142857143
60102,2020-12-10,2126.0,1178.0,1570.142857142857
60103,2020-12-11,872.0,1225.0,1595.4285714285713
60104,2020-12-12,2517.0,1267.0,1708.5714285714287
60105,2020-12-13,1390.0,1384.0,1752.857142857143
60106,2020-12-14,2330.0,1351.0,1815.5714285714287
60107,2020-12-15,1124.0,1375.0,1763.5714285714287
60108,2020-12-16,4412.0,1400.0,2110.1428571428573
60109,2020-12-17,2933.0,1448.0,2225.4285714285716
60110,2020-12-18,2177.0,1483.0,2411.8571428571427
60111,2020-12-19,2734.0,1512.0,2442.8571428571427
60112,2020-12-20,1874.0,1706.0,2512.0
60113,2020-12-21,3499.0,1735.0,2679.0
60114,2020-12-22,4228.0,1797.0,3122.4285714285716
60115,2020-12-23,2535.0,1829.0,2854.285714285714
60116,2020-12-24,4656.0,1867.0,3100.4285714285716
60117,2020-12-25,4713.0,1893.0,3462.714285714286
60118,2020-12-26,4273.0,1949.0,3682.5714285714284
60119,2020-12-27,2806.0,2138.0,3815.714285714286
60120,2020-12-28,5815.0,2142.0,4146.571428571428
60121,2020-12-29,5113.0,2130.0,4273.0
60122,2020-12-30,4186.0,2137.0,4508.857142857143
60123,2020-12-31,6678.0,2174.0,4797.714285714285
60124,2021-01-01,5248.0,2191.0,4874.142857142857
60125,2021-01-02,6289.0,2197.0,5162.142857142857
60126,2021-01-03,6743.0,2389.0,5724.571428571428
60127,2021-01-04,6631.0,2287.0,5841.142857142857
60128,2021-01-05,7966.0,2254.0,6248.714285714285
60129,2021-01-06,7309.0,2205.0,6694.857142857143
60130,2021-01-07,7600.0,2162.0,6826.571428571428
60131,2021-01-08,6309.0,2103.0,6978.142857142857
60132,2021-01-09,8077.0,2101.0,7233.571428571428
60133,2021-01-10,5885.0,2223.0,7111.0
60134,2021-01-11,9754.0,2140.0,7557.142857142857
60135,2021-01-12,8990.0,2085.0,7703.428571428572
60136,2021-01-13,9997.0,2030.0,8087.428571428572
60137,2021-01-14,9754.0,2027.0,8395.142857142857
60138,2021-01-15,5235.0,1992.0,8241.714285714286
60139,2021-01-16,8450.0,1959.0,8295.0
60140,2021-01-17,8190.0,2102.0,8624.285714285714
60141,2021-01-18,6560.0,2067.0,8168.0
60142,2021-01-19,7380.0,2052.0,7938.0
60143,2021-01-20,10213.0,2017.0,7968.857142857143
60144,2021-01-21,7027.0,1963.0,7579.285714285715
60145,2021-01-22,6159.0,1875.0,7711.285714285715
60146,2021-01-23,4933.0,1864.0,7208.857142857143
60147,2021-01-24,3442.0,2006.0,6530.571428571428
60148,2021-01-25,3666.0,1963.0,6117.142857142857
60149,2021-01-26,8587.0,1863.0,6289.571428571428
60150,2021-01-27,11934.0,1825.0,6535.428571428572
60151,2021-01-28,7305.0,1770.0,6575.142857142857
60152,2021-01-29,5096.0,1688.0,6423.285714285715
60153,2021-01-30,4798.0,1679.0,6404.0
60154,2021-01-31,4646.0,1790.0,6576.0
60155,2021-02-01,8811.0,1754.0,7311.0
60156,2021-02-02,7732.0,1679.0,7188.857142857143
60157,2021-02-03,8896.0,1658.0,6754.857142857143
60158,2021-02-04,6744.0,1601.0,6674.714285714285
60159,2021-02-05,5238.0,1493.0,6695.0
60160,2021-02-06,4727.0,1489.0,6684.857142857143
60161,2021-02-07,6518.0,1592.0,6952.285714285715
60162,2021-02-08,4427.0,1495.0,6326.0
60163,2021-02-09,7191.0,1461.0,6248.714285714285
60164,2021-02-10,6010.0,1422.0,5836.428571428572
60165,2021-02-11,5083.0,1358.0,5599.142857142857
60166,2021-02-12,3934.0,1334.0,5412.857142857143
60167,2021-02-13,3100.0,1363.0,5180.428571428572
60168,2021-02-14,2534.0,1461.0,4611.285714285715
60169,2021-02-15,5913.0,1416.0,4823.571428571428
60170,2021-02-16,4282.0,1377.0,4408.0
60171,2021-02-17,4054.0,1345.0,4128.571428571428
60172,2021-02-18,3305.0,1329.0,3874.5714285714284
60173,2021-02-19,2579.0,1240.0,3681.0
60174,2021-02-20,0.0,1223.0,3238.1428571428573
60175,2021-02-21,5530.0,1320.0,3666.1428571428573
60176,2021-02-22,4955.0,1285.0,3529.285714285714
60177,2021-02-23,4574.0,1235.0,3571.0
60178,2021-02-24,4184.0,1204.0,3589.5714285714284
60179,2021-02-25,3970.0,1173.0,3684.5714285714284
60180,2021-02-26,3054.0,1102.0,3752.4285714285716
60181,2021-02-27,2555.0,1113.0,4117.428571428572
60182,2021-02-28,2472.0,1175.0,3680.5714285714284
60183,2021-03-01,4151.0,1097.0,3565.714285714286
60184,2021-03-02,5260.0,1048.0,3663.714285714286
60185,2021-03-03,4267.0,1005.0,3675.5714285714284
60186,2021-03-04,3922.0,990.0,3668.714285714286
60187,2021-03-05,3058.0,931.0,3669.285714285714
60188,2021-03-06,3262.0,920.0,3770.285714285714
60189,2021-03-07,1848.0,965.0,3681.1428571428573
60190,2021-03-08,3541.0,880.0,3594.0
60191,2021-03-09,3146.0,822.0,3292.0
60192,2021-03-10,3230.0,828.0,3143.8571428571427
60193,2021-03-11,2758.0,803.0,2977.5714285714284
60194,2021-03-12,1948.0,717.0,2819.0
60195,2021-03-13,1601.0,671.0,2581.714285714286
60196,2021-03-14,1178.0,679.0,2486.0
60197,2021-03-15,1936.0,716.0,2256.714285714286
60198,2021-03-16,1790.0,656.0,2063.0
60199,2021-03-17,1475.0,609.0,1812.2857142857142
60200,2021-03-18,1384.0,580.0,1616.0
60201,2021-03-19,1047.0,537.0,1487.2857142857142
60202,2021-03-20,611.0,531.0,1345.857142857143
60203,2021-03-21,552.0,542.0,1256.4285714285713
60204,2021-03-22,992.0,512.0,1121.5714285714287
60205,2021-03-23,925.0,510.0,998.0
60206,2021-03-24,339.0,490.0,835.7142857142857
60207,2021-03-25,817.0,459.0,754.7142857142857
60208,2021-03-26,538.0,435.0,682.0
60209,2021-03-27,0.0,426.0,594.7142857142857
60210,2021-03-28,541.0,426.0,593.1428571428571
60211,2021-03-29,201.0,408.0,480.14285714285717
60212,2021-03-30,514.0,373.0,421.42857142857144
60213,2021-03-31,466.0,350.0,439.57142857142856
60214,2021-04-01,351.0,329.0,373.0
60215,2021-04-02,251.0,328.0,332.0
60216,2021-04-03,363.0,324.0,383.85714285714283
60217,2021-04-04,177.0,335.0,331.85714285714283
60218,2021-04-05,356.0,313.0,354.0
60219,2021-04-06,317.0,289.0,325.85714285714283
60220,2021-04-07,296.0,274.0,301.57142857142856
60221,2021-04-08,270.0,260.0,290.0
60222,2021-04-09,188.0,237.0,281.0
60223,2021-04-10,139.0,231.0,249.0
60224,2021-04-11,120.0,242.0,240.85714285714286
60225,2021-04-12,225.0,226.0,222.14285714285714
60226,2021-04-13,176.0,213.0,202.0
60227,2021-04-14,256.0,207.0,196.28571428571428
60228,2021-04-15,312.0,190.0,202.28571428571428
60229,2021-04-16,34.0,179.0,180.28571428571428
60230,2021-04-17,-53.0,178.0,152.85714285714286
60231,2021-04-18,164.0,184.0,159.14285714285714
60232,2021-04-19,171.0,178.0,151.42857142857142
60233,2021-04-20,139.0,173.0,146.14285714285714
60234,2021-04-21,135.0,170.0,128.85714285714286
60235,2021-04-22,315.0,150.0,129.28571428571428
60236,2021-04-23,85.0,158.0,136.57142857142858
60237,2021-04-24,82.0,150.0,155.85714285714286
60238,2021-04-25,50.0,157.0,139.57142857142858
60239,2021-04-26,83.0,146.0,127.0
60240,2021-04-27,110.0,136.0,122.85714285714286
60241,2021-04-28,106.0,130.0,118.71428571428571
60242,2021-04-29,84.0,124.0,85.71428571428571
60243,2021-04-30,74.0,120.0,84.14285714285714
60244,2021-05-01,0.0,118.0,72.42857142857143
60245,2021-05-02,73.0,118.0,75.71428571428571
60246,2021-05-03,67.0,113.0,73.42857142857143
60247,2021-05-04,76.0,117.0,68.57142857142857
60248,2021-05-05,70.0,115.0,63.42857142857143
