,Date,Subscribers
0,28/06/2022,2976
1,29/06/2022,2975
2,30/06/2022,2975
3,01/07/2022,2962
4,02/07/2022,2962
5,03/07/2022,2962
6,04/07/2022,2973
7,05/07/2022,2974
8,06/07/2022,2974
9,07/07/2022,2974
10,08/07/2022,2974
11,09/07/2022,2974
12,10/07/2022,2974
13,11/07/2022,2989
14,12/07/2022,2991
15,13/07/2022,2991
16,14/07/2022,3132
17,15/07/2022,3190
18,16/07/2022,3192
19,17/07/2022,3198
20,18/07/2022,3201
21,19/07/2022,3202
22,20/07/2022,3203
23,21/07/2022,3204
24,22/07/2022,3360
25,23/07/2022,3410
26,24/07/2022,3418
27,25/07/2022,3428
28,26/07/2022,3436
29,27/07/2022,3442
30,28/07/2022,3448
31,29/07/2022,3435
32,30/07/2022,3438
33,31/07/2022,3440
34,01/08/2022,3441
35,02/08/2022,3443
36,03/08/2022,3444
37,04/08/2022,3445
38,05/08/2022,3448
39,06/08/2022,3445
40,07/08/2022,3447
41,08/08/2022,3465
42,09/08/2022,3468
43,10/08/2022,3490
44,11/08/2022,3494
45,12/08/2022,3494
46,13/08/2022,3511
47,14/08/2022,3516
48,15/08/2022,3516
49,16/08/2022,3516
50,17/08/2022,3516
51,18/08/2022,3516
52,19/08/2022,3518
53,20/08/2022,3518
54,21/08/2022,3518
55,22/08/2022,3517
56,23/08/2022,3517
57,24/08/2022,3518
58,25/08/2022,3526
59,26/08/2022,3527
60,27/08/2022,3529
61,28/08/2022,3533
62,29/08/2022,3633
63,30/08/2022,3698
64,31/08/2022,3746
65,01/09/2022,3762
66,02/09/2022,3771
67,03/09/2022,3772
68,04/09/2022,3774
69,05/09/2022,3776
70,06/09/2022,3778
71,07/09/2022,3778
72,08/09/2022,3779
73,09/09/2022,3780
74,10/09/2022,3777
75,11/09/2022,3815
76,12/09/2022,3872
77,13/09/2022,3885
78,14/09/2022,3936
79,15/09/2022,3907
80,16/09/2022,3919
81,17/09/2022,3927
82,18/09/2022,3928
0,19/09/2022,3928
