,date,newCasesByPublishDate,Patients in hospital,Seven-day average
437,2020-09-01,154,48.0,
436,2020-09-02,156,51.0,
435,2020-09-03,101,52.0,
434,2020-09-04,159,61.0,
433,2020-09-05,141,64.0,
432,2020-09-06,208,63.0,
431,2020-09-07,146,73.0,152.14285714285714
430,2020-09-08,176,73.0,155.28571428571428
429,2020-09-09,159,83.0,155.71428571428572
428,2020-09-10,161,85.0,164.28571428571428
427,2020-09-11,175,89.0,166.57142857142858
426,2020-09-12,221,99.0,178.0
425,2020-09-13,244,105.0,183.14285714285714
424,2020-09-14,70,122.0,172.28571428571428
423,2020-09-15,267,123.0,185.28571428571428
422,2020-09-16,267,137.0,200.71428571428572
421,2020-09-17,290,154.0,219.14285714285714
420,2020-09-18,203,175.0,223.14285714285714
419,2020-09-19,350,191.0,241.57142857142858
418,2020-09-20,245,210.0,241.71428571428572
417,2020-09-21,255,218.0,268.14285714285717
416,2020-09-22,383,262.0,284.7142857142857
415,2020-09-23,486,319.0,316.0
414,2020-09-24,465,377.0,341.0
413,2020-09-25,558,397.0,391.7142857142857
412,2020-09-26,714,432.0,443.7142857142857
411,2020-09-27,344,449.0,457.85714285714283
410,2020-09-28,222,487.0,453.14285714285717
409,2020-09-29,806,527.0,513.5714285714286
408,2020-09-30,640,570.0,535.5714285714286
407,2020-10-01,668,601.0,564.5714285714286
406,2020-10-02,775,627.0,595.5714285714286
405,2020-10-03,764,672.0,602.7142857142857
404,2020-10-04,758,712.0,661.8571428571429
403,2020-10-05,697,755.0,729.7142857142857
402,2020-10-06,800,824.0,728.8571428571429
401,2020-10-07,1054,873.0,788.0
400,2020-10-08,1027,934.0,839.2857142857143
399,2020-10-09,1246,975.0,906.5714285714286
398,2020-10-10,1009,985.0,941.5714285714286
397,2020-10-11,956,1016.0,969.8571428571429
396,2020-10-12,961,1052.0,1007.5714285714286
395,2020-10-13,1297,1100.0,1078.5714285714287
394,2020-10-14,1429,1117.0,1132.142857142857
393,2020-10-15,1351,1152.0,1178.4285714285713
392,2020-10-16,1196,1171.0,1171.2857142857142
391,2020-10-17,1167,1154.0,1193.857142857143
390,2020-10-18,316,1203.0,1102.4285714285713
389,2020-10-19,993,1235.0,1107.0
388,2020-10-20,1456,1264.0,1129.7142857142858
387,2020-10-21,1739,1257.0,1174.0
386,2020-10-22,1712,1252.0,1225.5714285714287
385,2020-10-23,1401,1237.0,1254.857142857143
384,2020-10-24,1433,1245.0,1292.857142857143
383,2020-10-25,1303,1245.0,1433.857142857143
382,2020-10-26,1122,1227.0,1452.2857142857142
381,2020-10-27,1327,1239.0,1433.857142857143
380,2020-10-28,1202,1235.0,1357.142857142857
379,2020-10-29,1128,1207.0,1273.7142857142858
378,2020-10-30,1281,1228.0,1256.5714285714287
377,2020-10-31,1101,1198.0,1209.142857142857
376,2020-11-01,1148,1241.0,1187.0
375,2020-11-02,951,1227.0,1162.5714285714287
374,2020-11-03,999,1250.0,1115.7142857142858
373,2020-11-04,1433,1241.0,1148.7142857142858
372,2020-11-05,1216,1212.0,1161.2857142857142
371,2020-11-06,1072,1234.0,1131.4285714285713
370,2020-11-07,1596,1194.0,1202.142857142857
369,2020-11-08,1115,1170.0,1197.4285714285713
368,2020-11-09,912,1208.0,1191.857142857143
367,2020-11-10,832,1197.0,1168.0
366,2020-11-11,1261,1156.0,1143.4285714285713
365,2020-11-12,1212,1125.0,1142.857142857143
364,2020-11-13,1357,1099.0,1183.5714285714287
363,2020-11-14,1118,1074.0,1115.2857142857142
362,2020-11-15,1159,1049.0,1121.5714285714287
361,2020-11-16,717,1041.0,1093.7142857142858
360,2020-11-17,1248,1021.0,1153.142857142857
359,2020-11-18,1264,991.0,1153.5714285714287
358,2020-11-19,1089,982.0,1136.0
357,2020-11-20,1018,965.0,1087.5714285714287
356,2020-11-21,887,945.0,1054.5714285714287
355,2020-11-22,844,951.0,1009.5714285714286
354,2020-11-23,949,974.0,1042.7142857142858
353,2020-11-24,771,983.0,974.5714285714286
352,2020-11-25,880,972.0,919.7142857142857
351,2020-11-26,1225,984.0,939.1428571428571
350,2020-11-27,969,999.0,932.1428571428571
349,2020-11-28,788,994.0,918.0
348,2020-11-29,746,1015.0,904.0
347,2020-11-30,369,1012.0,821.1428571428571
346,2020-12-01,754,996.0,818.7142857142857
345,2020-12-02,951,1031.0,828.8571428571429
344,2020-12-03,958,1012.0,790.7142857142857
343,2020-12-04,966,1032.0,790.2857142857143
342,2020-12-05,777,1033.0,788.7142857142857
341,2020-12-06,643,1061.0,774.0
340,2020-12-07,677,1078.0,818.0
339,2020-12-08,692,1045.0,809.1428571428571
338,2020-12-09,897,1025.0,801.4285714285714
337,2020-12-10,933,1008.0,797.8571428571429
336,2020-12-11,1001,973.0,802.8571428571429
335,2020-12-12,1064,985.0,843.8571428571429
334,2020-12-13,800,993.0,866.2857142857143
333,2020-12-14,734,1040.0,874.4285714285714
332,2020-12-15,845,1092.0,896.2857142857143
331,2020-12-16,689,1133.0,866.5714285714286
330,2020-12-17,858,1174.0,855.8571428571429
329,2020-12-18,744,1189.0,819.1428571428571
328,2020-12-19,572,1212.0,748.8571428571429
327,2020-12-20,934,1246.0,768.0
326,2020-12-21,1504,1282.0,878.0
325,2020-12-22,1316,1347.0,945.2857142857143
324,2020-12-23,1190,1384.0,1016.8571428571429
323,2020-12-24,1314,1467.0,1082.0
322,2020-12-25,1165,1530.0,1142.142857142857
321,2020-12-26,1149,1596.0,1224.5714285714287
320,2020-12-27,740,1598.0,1196.857142857143
319,2020-12-28,967,1664.0,1120.142857142857
318,2020-12-29,1895,1717.0,1202.857142857143
317,2020-12-30,2045,1794.0,1325.0
316,2020-12-31,2622,1840.0,1511.857142857143
315,2021-01-01,2539,1881.0,1708.142857142857
314,2021-01-02,2137,1893.0,1849.2857142857142
313,2021-01-03,2464,1918.0,2095.5714285714284
312,2021-01-04,1905,1959.0,2229.5714285714284
311,2021-01-05,2529,1989.0,2320.1428571428573
310,2021-01-06,2039,2003.0,2319.285714285714
309,2021-01-07,2649,2004.0,2323.1428571428573
308,2021-01-08,2309,2053.0,2290.285714285714
307,2021-01-09,1865,2026.0,2251.4285714285716
306,2021-01-10,1877,2010.0,2167.5714285714284
305,2021-01-11,1782,2016.0,2150.0
304,2021-01-12,1875,2010.0,2056.5714285714284
303,2021-01-13,1949,2016.0,2043.7142857142858
302,2021-01-14,1707,1983.0,1909.142857142857
301,2021-01-15,2160,1958.0,1887.857142857143
300,2021-01-16,1753,1952.0,1871.857142857143
299,2021-01-17,1341,1941.0,1795.2857142857142
298,2021-01-18,1429,1958.0,1744.857142857143
297,2021-01-19,1165,1934.0,1643.4285714285713
296,2021-01-20,1656,1865.0,1601.5714285714287
295,2021-01-21,1636,1812.0,1591.4285714285713
294,2021-01-22,1480,1794.0,1494.2857142857142
293,2021-01-23,1307,1729.0,1430.5714285714287
292,2021-01-24,1195,1710.0,1409.7142857142858
291,2021-01-25,752,1672.0,1313.0
290,2021-01-26,1049,1618.0,1296.4285714285713
289,2021-01-27,1330,1542.0,1249.857142857143
288,2021-01-28,1201,1499.0,1187.7142857142858
287,2021-01-29,1155,1472.0,1141.2857142857142
286,2021-01-30,994,1449.0,1096.5714285714287
285,2021-01-31,1003,1443.0,1069.142857142857
284,2021-02-01,848,1428.0,1082.857142857143
283,2021-02-02,758,1383.0,1041.2857142857142
282,2021-02-03,978,1317.0,991.0
281,2021-02-04,1149,1261.0,983.5714285714286
280,2021-02-05,895,1222.0,946.4285714285714
279,2021-02-06,895,1154.0,932.2857142857143
278,2021-02-07,584,1132.0,872.4285714285714
277,2021-02-08,928,1141.0,883.8571428571429
276,2021-02-09,822,1076.0,893.0
275,2021-02-10,803,1018.0,868.0
274,2021-02-11,830,967.0,822.4285714285714
273,2021-02-12,830,924.0,813.1428571428571
272,2021-02-13,908,898.0,815.0
271,2021-02-14,903,837.0,860.5714285714286
270,2021-02-15,559,824.0,807.8571428571429
269,2021-02-16,773,784.0,800.8571428571429
268,2021-02-17,1121,750.0,846.2857142857143
267,2021-02-18,685,718.0,825.5714285714286
266,2021-02-19,885,666.0,833.4285714285714
265,2021-02-20,803,639.0,818.4285714285714
264,2021-02-21,827,628.0,807.5714285714286
263,2021-02-22,715,654.0,829.8571428571429
262,2021-02-23,655,614.0,813.0
261,2021-02-24,798,582.0,766.8571428571429
260,2021-02-25,769,525.0,778.8571428571429
259,2021-02-26,581,512.0,735.4285714285714
258,2021-02-27,525,479.0,695.7142857142857
257,2021-02-28,572,461.0,659.2857142857143
256,2021-03-01,386,447.0,612.2857142857143
255,2021-03-02,542,440.0,596.1428571428571
254,2021-03-03,543,422.0,559.7142857142857
253,2021-03-04,500,405.0,521.2857142857143
252,2021-03-05,498,397.0,509.42857142857144
251,2021-03-06,555,367.0,513.7142857142857
250,2021-03-07,390,344.0,487.7142857142857
249,2021-03-08,501,353.0,504.14285714285717
248,2021-03-09,466,341.0,493.2857142857143
247,2021-03-10,691,321.0,514.4285714285714
246,2021-03-11,591,310.0,527.4285714285714
245,2021-03-12,682,296.0,553.7142857142857
244,2021-03-13,639,283.0,565.7142857142857
243,2021-03-14,484,264.0,579.1428571428571
242,2021-03-15,456,259.0,572.7142857142857
241,2021-03-16,597,250.0,591.4285714285714
240,2021-03-17,625,237.0,582.0
239,2021-03-18,624,215.0,586.7142857142857
238,2021-03-19,655,207.0,582.8571428571429
237,2021-03-20,488,201.0,561.2857142857143
236,2021-03-21,532,193.0,568.1428571428571
235,2021-03-22,359,202.0,554.2857142857143
234,2021-03-23,495,196.0,539.7142857142857
233,2021-03-24,692,192.0,549.2857142857143
232,2021-03-25,701,174.0,560.2857142857143
231,2021-03-26,543,167.0,544.2857142857143
230,2021-03-27,563,160.0,555.0
229,2021-03-28,422,149.0,539.2857142857143
228,2021-03-29,352,154.0,538.2857142857143
227,2021-03-30,411,133.0,526.2857142857143
226,2021-03-31,542,119.0,504.85714285714283
225,2021-04-01,400,115.0,461.85714285714283
224,2021-04-02,414,109.0,443.42857142857144
223,2021-04-03,397,105.0,419.7142857142857
222,2021-04-04,343,104.0,408.42857142857144
221,2021-04-05,248,104.0,393.57142857142856
220,2021-04-06,259,106.0,371.85714285714283
219,2021-04-07,289,107.0,335.7142857142857
218,2021-04-08,364,93.0,330.57142857142856
217,2021-04-09,285,93.0,312.14285714285717
216,2021-04-10,281,94.0,295.57142857142856
215,2021-04-11,250,89.0,282.2857142857143
214,2021-04-12,199,93.0,275.2857142857143
213,2021-04-13,221,81.0,269.85714285714283
212,2021-04-14,278,75.0,268.2857142857143
211,2021-04-15,237,70.0,250.14285714285714
210,2021-04-16,204,67.0,238.57142857142858
209,2021-04-17,210,65.0,228.42857142857142
208,2021-04-18,211,68.0,222.85714285714286
207,2021-04-19,232,65.0,227.57142857142858
206,2021-04-20,178,58.0,221.42857142857142
205,2021-04-21,273,69.0,220.71428571428572
204,2021-04-22,231,58.0,219.85714285714286
203,2021-04-23,255,68.0,227.14285714285714
202,2021-04-24,177,64.0,222.42857142857142
201,2021-04-25,176,65.0,217.42857142857142
200,2021-04-26,142,72.0,204.57142857142858
199,2021-04-27,133,69.0,198.14285714285714
198,2021-04-28,204,65.0,188.28571428571428
197,2021-04-29,178,63.0,180.71428571428572
196,2021-04-30,191,64.0,171.57142857142858
195,2021-05-01,175,69.0,171.28571428571428
194,2021-05-02,146,61.0,167.0
193,2021-05-03,132,68.0,165.57142857142858
192,2021-05-04,139,70.0,166.42857142857142
191,2021-05-05,85,78.0,149.42857142857142
190,2021-05-06,283,83.0,164.42857142857142
189,2021-05-07,236,81.0,170.85714285714286
188,2021-05-08,224,88.0,177.85714285714286
187,2021-05-09,200,99.0,185.57142857142858
186,2021-05-10,168,94.0,190.71428571428572
185,2021-05-11,238,97.0,204.85714285714286
184,2021-05-12,345,98.0,242.0
183,2021-05-13,270,83.0,240.14285714285714
182,2021-05-14,215,90.0,237.14285714285714
181,2021-05-15,413,86.0,264.14285714285717
180,2021-05-16,292,101.0,277.2857142857143
179,2021-05-17,161,109.0,276.2857142857143
178,2021-05-18,268,106.0,280.57142857142856
177,2021-05-19,394,114.0,287.57142857142856
176,2021-05-20,432,110.0,310.7142857142857
175,2021-05-21,414,116.0,339.14285714285717
174,2021-05-22,370,111.0,333.0
173,2021-05-23,378,112.0,345.2857142857143
172,2021-05-24,313,122.0,367.0
171,2021-05-25,318,121.0,374.14285714285717
170,2021-05-26,546,124.0,395.85714285714283
169,2021-05-27,464,124.0,400.42857142857144
168,2021-05-28,641,132.0,432.85714285714283
167,2021-05-29,583,129.0,463.2857142857143
166,2021-05-30,526,130.0,484.42857142857144
165,2021-05-31,490,128.0,509.7142857142857
164,2021-06-01,478,137.0,532.5714285714286
