,date,newCasesByPublishDate,Average
233,2021-02-01,18607,23732.285714285714
232,2021-02-02,16840,23268.14285714286
231,2021-02-03,19202,22395.85714285714
230,2021-02-04,20634,21246.428571428572
229,2021-02-05,19114,19822.85714285714
228,2021-02-06,18262,19106.714285714286
227,2021-02-07,15845,18357.714285714286
226,2021-02-08,14104,17714.428571428572
225,2021-02-09,12364,17075.0
224,2021-02-10,13013,16190.857142857143
223,2021-02-11,13494,15170.857142857143
222,2021-02-12,15144,14603.714285714286
221,2021-02-13,13308,13896.0
220,2021-02-14,10972,13199.857142857143
219,2021-02-15,9765,12580.0
218,2021-02-16,10625,12331.57142857143
217,2021-02-17,12718,12289.42857142857
216,2021-02-18,12057,12084.142857142857
215,2021-02-19,12027,11638.857142857143
214,2021-02-20,10406,11224.285714285714
213,2021-02-21,9834,11061.714285714286
212,2021-02-22,10641,11186.857142857143
211,2021-02-23,8489,10881.714285714286
210,2021-02-24,9938,10484.57142857143
209,2021-02-25,9985,10188.57142857143
208,2021-02-26,8523,9688.0
207,2021-02-27,7434,9263.42857142857
206,2021-02-28,6035,8720.714285714286
205,2021-03-01,5455,7979.857142857143
204,2021-03-02,6391,7680.142857142857
203,2021-03-03,6385,7172.571428571428
202,2021-03-04,6573,6685.142857142857
201,2021-03-05,5947,6317.142857142857
200,2021-03-06,6040,6118.0
199,2021-03-07,5177,5995.428571428572
198,2021-03-08,4712,5889.285714285715
197,2021-03-09,5766,5800.0
196,2021-03-10,5926,5734.428571428572
195,2021-03-11,6753,5760.142857142857
194,2021-03-12,6609,5854.714285714285
193,2021-03-13,5534,5782.428571428572
192,2021-03-14,4618,5702.571428571428
191,2021-03-15,5089,5756.428571428572
190,2021-03-16,5294,5689.0
189,2021-03-17,5758,5665.0
188,2021-03-18,6303,5600.714285714285
187,2021-03-19,4802,5342.571428571428
186,2021-03-20,5587,5350.142857142857
185,2021-03-21,5312,5449.285714285715
184,2021-03-22,5342,5485.428571428572
183,2021-03-23,5379,5497.571428571428
182,2021-03-24,5605,5475.714285714285
181,2021-03-25,6397,5489.142857142857
180,2021-03-26,6187,5687.0
179,2021-03-27,4715,5562.428571428572
178,2021-03-28,3862,5355.285714285715
177,2021-03-29,4654,5257.0
176,2021-03-30,4040,5065.714285714285
175,2021-03-31,4052,4843.857142857143
174,2021-04-01,4479,4569.857142857143
173,2021-04-02,3402,4172.0
172,2021-04-03,3423,3987.4285714285716
171,2021-04-04,2297,3763.8571428571427
170,2021-04-05,2762,3493.5714285714284
169,2021-04-06,2379,3256.285714285714
168,2021-04-07,2763,3072.1428571428573
167,2021-04-08,3030,2865.1428571428573
166,2021-04-09,3150,2829.1428571428573
165,2021-04-10,2589,2710.0
164,2021-04-11,1730,2629.0
163,2021-04-12,3568,2744.1428571428573
162,2021-04-13,2472,2757.4285714285716
161,2021-04-14,2491,2718.5714285714284
160,2021-04-15,2672,2667.4285714285716
159,2021-04-16,2596,2588.285714285714
158,2021-04-17,2206,2533.5714285714284
157,2021-04-18,1882,2555.285714285714
156,2021-04-19,2963,2468.8571428571427
155,2021-04-20,2524,2476.285714285714
154,2021-04-21,2396,2462.714285714286
153,2021-04-22,2729,2470.8571428571427
152,2021-04-23,2678,2482.5714285714284
151,2021-04-24,2061,2461.8571428571427
150,2021-04-25,1712,2437.5714285714284
149,2021-04-26,2064,2309.1428571428573
148,2021-04-27,2685,2332.1428571428573
147,2021-04-28,2166,2299.285714285714
146,2021-04-29,2445,2258.714285714286
145,2021-04-30,2381,2216.285714285714
144,2021-05-01,1907,2194.285714285714
143,2021-05-02,1671,2188.4285714285716
142,2021-05-03,1649,2129.1428571428573
141,2021-05-04,1946,2023.5714285714287
140,2021-05-05,2144,2020.4285714285713
139,2021-05-06,2613,2044.4285714285713
138,2021-05-07,2490,2060.0
137,2021-05-08,2047,2080.0
