Date,Price
20-Sep-22,194.38
19-Sep-22,182.262
16-Sep-22,187.793
15-Sep-22,214.283
14-Sep-22,217.882
13-Sep-22,198.612
12-Sep-22,190.588
09-Sep-22,207.09
08-Sep-22,220.54
07-Sep-22,213.885
06-Sep-22,239.84
02-Sep-22,214.665
01-Sep-22,243.005
31-Aug-22,239.905
30-Aug-22,252.937
29-Aug-22,272.605
26-Aug-22,339.195
25-Aug-22,321.415
24-Aug-22,292.15
23-Aug-22,269.05
22-Aug-22,276.75
19-Aug-22,244.55
18-Aug-22,241.005
17-Aug-22,225.835
16-Aug-22,225.915
15-Aug-22,220.11
12-Aug-22,206.11
11-Aug-22,208.11
10-Aug-22,205.365
09-Aug-22,192.185
08-Aug-22,193.055
05-Aug-22,196.32
04-Aug-22,199.25
03-Aug-22,199.195
02-Aug-22,205.175
01-Aug-22,200.795
29-Jul-22,190.915
28-Jul-22,198.93
27-Jul-22,205.225
26-Jul-22,199.92
25-Jul-22,176.615
22-Jul-22,159.865
21-Jul-22,155.6
20-Jul-22,155.04
19-Jul-22,154.455
18-Jul-22,157.26
15-Jul-22,159.565
14-Jul-22,175.035
13-Jul-22,180.505
12-Jul-22,172.61
11-Jul-22,164.52
08-Jul-22,175.21
07-Jul-22,183.185
06-Jul-22,171
05-Jul-22,165.075
01-Jul-22,147.785
30-Jun-22,144.515
29-Jun-22,139.588
28-Jun-22,129.175
27-Jun-22,129.46
24-Jun-22,128.505
23-Jun-22,133.345
22-Jun-22,127.17
21-Jun-22,125.56
17-Jun-22,117.74
16-Jun-22,124.365
15-Jun-22,120.33
14-Jun-22,97.04
13-Jun-22,83.4
10-Jun-22,82.465
09-Jun-22,84.88
08-Jun-22,79.405
07-Jun-22,79.61
06-Jun-22,82.56
03-Jun-22,83.1
02-Jun-22,83.945
01-Jun-22,85.55
31-May-22,94.005
27-May-22,86.875
26-May-22,85.97
25-May-22,88.08
24-May-22,84.505
23-May-22,83.29
20-May-22,87.9
19-May-22,91.025
18-May-22,94.54
17-May-22,94.175
16-May-22,92.86
13-May-22,96.88
12-May-22,106.7
11-May-22,94.01
10-May-22,98.8
09-May-22,93.785
06-May-22,101.71
05-May-22,106.51
04-May-22,103.82
03-May-22,99.425
02-May-22,97.05
29-Apr-22,99.45
28-Apr-22,100.142
27-Apr-22,107.425
26-Apr-22,103.21
25-Apr-22,92.835
22-Apr-22,94.875
21-Apr-22,100.06
20-Apr-22,94.23
19-Apr-22,93.77
18-Apr-22,95.62
14-Apr-22,95.62
13-Apr-22,105.325
12-Apr-22,102.22
11-Apr-22,100.135
08-Apr-22,103.88
07-Apr-22,104.565
06-Apr-22,106.79
05-Apr-22,108.565
04-Apr-22,109.525
01-Apr-22,112.15
31-Mar-22,125.905
30-Mar-22,118.97
29-Mar-22,108.38
28-Mar-22,102.545
25-Mar-22,101.27
24-Mar-22,111.61
23-Mar-22,117
22-Mar-22,98.745
21-Mar-22,96.302
18-Mar-22,105.045
17-Mar-22,105.09
16-Mar-22,102.625
15-Mar-22,115.44
14-Mar-22,114.52
11-Mar-22,131.23
10-Mar-22,126.4
09-Mar-22,155.88
08-Mar-22,214.555
07-Mar-22,227.2
04-Mar-22,192.55
03-Mar-22,160.825
02-Mar-22,165.545
01-Mar-22,121.675
28-Feb-22,98.595
25-Feb-22,94.422
24-Feb-22,134.315
23-Feb-22,88.89
22-Feb-22,79.79
21-Feb-22,71.72
18-Feb-22,73.76
17-Feb-22,74.915
16-Feb-22,69.795
15-Feb-22,70.92
14-Feb-22,80.77
11-Feb-22,77.425
10-Feb-22,74.355
09-Feb-22,74.415
08-Feb-22,77.3
07-Feb-22,79.595
04-Feb-22,82.65
03-Feb-22,80.225
02-Feb-22,77.35
01-Feb-22,76.165
31-Jan-22,84.67
28-Jan-22,92.062
27-Jan-22,92.3
26-Jan-22,91.835
25-Jan-22,93.58
24-Jan-22,93
21-Jan-22,78.98
20-Jan-22,75.205
19-Jan-22,75.6
18-Jan-22,78.335
17-Jan-22,78.22
14-Jan-22,86.97
13-Jan-22,85.46
12-Jan-22,75.155
11-Jan-22,78.735
10-Jan-22,84.605
07-Jan-22,88.175
06-Jan-22,96.5
05-Jan-22,91.52
04-Jan-22,88.74
03-Jan-22,80.435
