,Date,Value
450,2020-01-02,31.03
451,2020-01-03,33.07
452,2020-01-06,31.18
453,2020-01-07,30.24
454,2020-01-08,30.46
455,2020-01-09,31.03
456,2020-01-10,30.45
457,2020-01-13,31.34
458,2020-01-14,29.18
459,2020-01-15,29.05
460,2020-01-16,28.83
461,2020-01-17,28.31
462,2020-01-20,27.35
463,2020-01-21,27.85
464,2020-01-22,26.81
465,2020-01-23,26.77
466,2020-01-24,27.12
467,2020-01-27,27.32
468,2020-01-28,28.14
469,2020-01-29,26.66
470,2020-01-30,25.34
471,2020-01-31,24.18
472,2020-02-03,22.83
473,2020-02-04,23.02
474,2020-02-05,22.79
475,2020-02-06,22.4
476,2020-02-07,22.13
477,2020-02-10,20.86
478,2020-02-11,20.52
479,2020-02-12,20.69
480,2020-02-13,20.75
481,2020-02-14,20.86
482,2020-02-17,22.16
483,2020-02-18,22.33
484,2020-02-19,23.04
485,2020-02-20,23.14
486,2020-02-21,22.92
487,2020-02-24,22.58
488,2020-02-25,22.54
489,2020-02-26,23.06
490,2020-02-27,22.93
491,2020-02-28,21.7
492,2020-03-02,22.38
493,2020-03-03,23.2
494,2020-03-04,22.39
495,2020-03-05,22.35
496,2020-03-06,21.85
497,2020-03-09,21.62
498,2020-03-10,23.01
499,2020-03-11,24.18
500,2020-03-12,24.03
501,2020-03-13,23.98
502,2020-03-16,22.97
503,2020-03-17,22.36
504,2020-03-18,22.16
505,2020-03-19,23.16
506,2020-03-20,22.24
507,2020-03-23,21.62
508,2020-03-24,21.59
509,2020-03-25,20.65
510,2020-03-26,19.85
511,2020-03-27,18.46
512,2020-03-30,17.0
513,2020-03-31,16.33
514,2020-04-01,16.04
515,2020-04-02,16.28
516,2020-04-03,16.22
517,2020-04-06,16.98
518,2020-04-07,17.08
519,2020-04-08,16.87
520,2020-04-09,16.86
521,2020-04-14,15.52
522,2020-04-15,14.68
523,2020-04-16,15.2
524,2020-04-17,15.36
525,2020-04-20,13.8
526,2020-04-21,13.99
527,2020-04-22,14.43
528,2020-04-23,13.82
529,2020-04-24,12.76
530,2020-04-27,13.14
531,2020-04-28,13.83
532,2020-04-29,13.24
533,2020-04-30,13.87
534,2020-05-01,13.28
535,2020-05-04,13.81
536,2020-05-05,13.59
537,2020-05-06,13.67
538,2020-05-07,13.98
539,2020-05-11,13.29
540,2020-05-12,12.2
541,2020-05-13,12.01
542,2020-05-14,12.53
543,2020-05-15,12.59
544,2020-05-18,11.53
545,2020-05-19,11.17
546,2020-05-20,10.78
547,2020-05-21,9.27
548,2020-05-22,9.46
549,2020-05-26,9.82
550,2020-05-27,8.88
551,2020-05-28,8.34
