Month,Futures curve on 25 Aug,Futures curve on 14 September,Futures curve on 25 July,BoE assumption
Aug-22,590.191,,368.239,320
Sep-22,654.184,408.78,399.502,320
Oct-22,742.862,515.081,435.107,320
Nov-22,820.701,585.155,447.206,320
Dec-22,818.949,588.863,441.644,320
Jan-23,812.898,584.855,424.76,320
Feb-23,778.828,550.636,381.383,320
Mar-23,708.88,481.347,338.005,320
Apr-23,685.442,454.774,306.572,320
May-23,679.453,437.954,289.788,320
Jun-23,673.465,435.692,277.392,320
Jul-23,671.527,440.436,273.505,320
Aug-23,677.952,454.422,284.616,320
Sep-23,681.146,459.201,301.593,320
Oct-23,679.866,455.288,306.997,320
Nov-23,687.791,454.698,310.41,320
Dec-23,687.835,451.73,304.507,320
Jan-24,646.757,423.112,276.968,320
Feb-24,534.653,329.637,239.439,320
Mar-24,453.743,265.981,200.538,320
Apr-24,428.812,251.08,183.828,320
May-24,417.836,242.349,176.069,320
Jun-24,417.645,233.618,168.31,320
Jul-24,420.418,236.273,172.911,320
Aug-24,423.962,238.317,179.844,320
Sep-24,428.793,247.63,185.609,320
Oct-24,436.697,257.12,191.263,320
Nov-24,431.064,,,320
