,Month,Futures curve on 25 Aug,Futures curve on 14 September,Futures curve on 25 July,Futures curve on 19 September,Futures curve on 19 Sep
0,Aug-22,590.191,,368.239,,
1,Sep-22,654.184,408.78,399.502,,
2,Oct-22,742.862,515.081,435.107,290.81,290.81
3,Nov-22,820.701,585.155,447.206,440.79,440.79
4,Dec-22,818.949,588.863,441.644,532.78,532.78
5,Jan-23,812.898,584.855,424.76,543.78,543.78
6,Feb-23,778.828,550.636,381.383,542.78,542.78
7,Mar-23,708.88,481.347,338.005,517.02,517.02
8,Apr-23,685.442,454.774,306.572,449.02,449.02
9,May-23,679.453,437.954,289.788,425.94,425.94
10,Jun-23,673.465,435.692,277.392,411.04,411.04
11,Jul-23,671.527,440.436,273.505,411.41,411.41
12,Aug-23,677.952,454.422,284.616,408.89,408.89
13,Sep-23,681.146,459.201,301.593,421.07,421.07
14,Oct-23,679.866,455.288,306.997,441.32,441.32
15,Nov-23,687.791,454.698,310.41,431.41,431.41
16,Dec-23,687.835,451.73,304.507,433.96,433.96
17,Jan-24,646.757,423.112,276.968,446.37,446.37
18,Feb-24,534.653,329.637,239.439,444.33,444.33
19,Mar-24,453.743,265.981,200.538,395.4,395.4
20,Apr-24,428.812,251.08,183.828,279.31,279.31
21,May-24,417.836,242.349,176.069,246.9,246.9
22,Jun-24,417.645,233.618,168.31,244.09,244.09
23,Jul-24,420.418,236.273,172.911,226.59,226.59
24,Aug-24,423.962,238.317,179.844,221.53,221.53
25,Sep-24,428.793,247.63,185.609,228.41,228.41
26,Oct-24,436.697,257.12,191.263,231.19,231.19
27,Nov-24,431.064,,,239.41,239.41
