,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Month,Futures curve on 25 Aug,Futures curve on 14 September,Futures curve on 25 July,Futures curve on 19 September,Futures curve on 19 Sep_x,Futures curve on 19 Sep_y,Futures curve on 19 Sep_x.1,Futures curve on 19 Sep_y.1,Futures curve on 20 Sep_x,Futures curve on 20 Sep_y,Futures curve on 21 Sep_x,Futures curve on 21 Sep_y,Futures curve on 21 Sep
0,0,0,0,0,0,0,0,0,Aug-22,590.191,,368.239,,,,,,,,,,
1,1,1,1,1,1,1,1,1,Sep-22,654.184,408.78,399.502,,,,,,,,,,
2,2,2,2,2,2,2,2,2,Oct-22,742.862,515.081,435.107,290.81,290.81,290.81,290.81,290.81,282.41,282.41,315.36,315.36,315.36
3,3,3,3,3,3,3,3,3,Nov-22,820.701,585.155,447.206,440.79,440.79,440.79,440.79,440.79,427.09,427.09,444.54,444.54,444.54
4,4,4,4,4,4,4,4,4,Dec-22,818.949,588.863,441.644,532.78,532.78,532.78,532.78,532.78,521.04,521.04,542.42,542.42,542.42
5,5,5,5,5,5,5,5,5,Jan-23,812.898,584.855,424.76,543.78,543.78,543.78,543.78,543.78,533.53,533.53,556.3,556.3,556.3
6,6,6,6,6,6,6,6,6,Feb-23,778.828,550.636,381.383,542.78,542.78,542.78,542.78,542.78,534.38,534.38,558.69,558.69,558.69
7,7,7,7,7,7,7,7,7,Mar-23,708.88,481.347,338.005,517.02,517.02,517.02,517.02,517.02,505.93,505.93,538.04,538.04,538.04
8,8,8,8,8,8,8,8,8,Apr-23,685.442,454.774,306.572,449.02,449.02,449.02,449.02,449.02,442.96,442.96,470.04,470.04,470.04
9,9,9,9,9,9,9,9,9,May-23,679.453,437.954,289.788,425.94,425.94,425.94,425.94,425.94,418.14,418.14,439.33,439.33,439.33
10,10,10,10,10,10,10,10,10,Jun-23,673.465,435.692,277.392,411.04,411.04,411.04,411.04,411.04,403.29,403.29,423.47,423.47,423.47
11,11,11,11,11,11,11,11,11,Jul-23,671.527,440.436,273.505,411.41,411.41,411.41,411.41,411.41,402.87,402.87,422.76,422.76,422.76
12,12,12,12,12,12,12,12,12,Aug-23,677.952,454.422,284.616,408.89,408.89,408.89,408.89,408.89,400.11,400.11,421.07,421.07,421.07
13,13,13,13,13,13,13,13,13,Sep-23,681.146,459.201,301.593,421.07,421.07,421.07,421.07,421.07,413.38,413.38,434.32,434.32,434.32
14,14,14,14,14,14,14,14,14,Oct-23,679.866,455.288,306.997,441.32,441.32,441.32,441.32,441.32,433.7,433.7,455.61,455.61,455.61
15,15,15,15,15,15,15,15,15,Nov-23,687.791,454.698,310.41,431.41,431.41,431.41,431.41,431.41,425.7,425.7,450.2,450.2,450.2
16,16,16,16,16,16,16,16,16,Dec-23,687.835,451.73,304.507,433.96,433.96,433.96,433.96,433.96,428.76,428.76,452.88,452.88,452.88
17,17,17,17,17,17,17,17,17,Jan-24,646.757,423.112,276.968,446.37,446.37,446.37,446.37,446.37,438.71,438.71,461.62,461.62,461.62
18,18,18,18,18,18,18,18,18,Feb-24,534.653,329.637,239.439,444.33,444.33,444.33,444.33,444.33,439.57,439.57,460.76,460.76,460.76
19,19,19,19,19,19,19,19,19,Mar-24,453.743,265.981,200.538,395.4,395.4,395.4,395.4,395.4,381.41,381.41,397.98,397.98,397.98
20,20,20,20,20,20,20,20,20,Apr-24,428.812,251.08,183.828,279.31,279.31,279.31,279.31,279.31,281.21,281.21,281.98,281.98,281.98
21,21,21,21,21,21,21,21,21,May-24,417.836,242.349,176.069,246.9,246.9,246.9,246.9,246.9,245.17,245.17,242.57,242.57,242.57
22,22,22,22,22,22,22,22,22,Jun-24,417.645,233.618,168.31,244.09,244.09,244.09,244.09,244.09,243.47,243.47,236.97,236.97,236.97
23,23,23,23,23,23,23,23,23,Jul-24,420.418,236.273,172.911,226.59,226.59,226.59,226.59,226.59,229.21,229.21,223.28,223.28,223.28
24,24,24,24,24,24,24,24,24,Aug-24,423.962,238.317,179.844,221.53,221.53,221.53,221.53,221.53,222.94,222.94,217.0,217.0,217.0
25,25,25,25,25,25,25,25,25,Sep-24,428.793,247.63,185.609,228.41,228.41,228.41,228.41,228.41,228.09,228.09,222.16,222.16,222.16
26,26,26,26,26,26,26,26,26,Oct-24,436.697,257.12,191.263,231.19,231.19,231.19,231.19,231.19,229.46,229.46,227.83,227.83,227.83
27,27,27,27,27,27,27,27,27,Nov-24,431.064,,,239.41,239.41,239.41,239.41,239.41,240.83,240.83,239.2,239.2,239.2
