,Unnamed: 0,date,All ages,1-4,5-14,15-24,25-44,45-64,65-74,75+
0,1,2020-02-17,0.0042828698173888,2020-02-17,2020-02-17,2020-02-17,2020-02-17,2020-02-17,2020-02-17,2020-02-17
1,2,2020-02-18,0.0042790316780005,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18,2020-02-18
2,3,2020-02-19,0.0042780470021267,2020-02-19,2020-02-19,2020-02-19,2020-02-19,2020-02-19,2020-02-19,2020-02-19
3,4,2020-02-20,0.0042758034597975,2020-02-20,2020-02-20,2020-02-20,2020-02-20,2020-02-20,2020-02-20,2020-02-20
4,5,2020-02-21,0.0042742378144966,2020-02-21,2020-02-21,2020-02-21,2020-02-21,2020-02-21,2020-02-21,2020-02-21
5,6,2020-02-22,0.0042731033706002,2020-02-22,2020-02-22,2020-02-22,2020-02-22,2020-02-22,2020-02-22,2020-02-22
6,7,2020-02-23,0.0042711418461865,2020-02-23,2020-02-23,2020-02-23,2020-02-23,2020-02-23,2020-02-23,2020-02-23
7,8,2020-02-24,0.0042710091264491,2020-02-24,2020-02-24,2020-02-24,2020-02-24,2020-02-24,2020-02-24,2020-02-24
8,9,2020-02-25,0.0042691339585577,2020-02-25,2020-02-25,2020-02-25,2020-02-25,2020-02-25,2020-02-25,2020-02-25
9,10,2020-02-26,0.0042681880239129,2020-02-26,2020-02-26,2020-02-26,2020-02-26,2020-02-26,2020-02-26,2020-02-26
10,11,2020-02-27,0.0042652750101837,2020-02-27,2020-02-27,2020-02-27,2020-02-27,2020-02-27,2020-02-27,2020-02-27
11,12,2020-02-28,0.0042626355005391,2020-02-28,2020-02-28,2020-02-28,2020-02-28,2020-02-28,2020-02-28,2020-02-28
12,13,2020-02-29,0.0042597781492673,2020-02-29,2020-02-29,2020-02-29,2020-02-29,2020-02-29,2020-02-29,2020-02-29
13,14,2020-03-01,0.0042572529439536,2020-03-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01
14,15,2020-03-02,0.0042546116297702,2020-03-02,2020-03-02,2020-03-02,2020-03-02,2020-03-02,2020-03-02,2020-03-02
15,16,2020-03-03,0.0042522152728505,2020-03-03,2020-03-03,2020-03-03,2020-03-03,2020-03-03,2020-03-03,2020-03-03
16,17,2020-03-04,0.0042525771252445,2020-03-04,2020-03-04,2020-03-04,2020-03-04,2020-03-04,2020-03-04,2020-03-04
17,18,2020-03-05,0.0042499386780062,2020-03-05,2020-03-05,2020-03-05,2020-03-05,2020-03-05,2020-03-05,2020-03-05
18,19,2020-03-06,0.0042492802983003,2020-03-06,2020-03-06,2020-03-06,2020-03-06,2020-03-06,2020-03-06,2020-03-06
19,20,2020-03-07,0.0042489678117806,2020-03-07,2020-03-07,2020-03-07,2020-03-07,2020-03-07,2020-03-07,2020-03-07
20,21,2020-03-08,0.0042500608027408,2020-03-08,2020-03-08,2020-03-08,2020-03-08,2020-03-08,2020-03-08,2020-03-08
21,22,2020-03-09,0.0042506684508965,2020-03-09,2020-03-09,2020-03-09,2020-03-09,2020-03-09,2020-03-09,2020-03-09
22,23,2020-03-10,0.0042499004613558,2020-03-10,2020-03-10,2020-03-10,2020-03-10,2020-03-10,2020-03-10,2020-03-10
23,24,2020-03-11,0.0042513371241976,2020-03-11,2020-03-11,2020-03-11,2020-03-11,2020-03-11,2020-03-11,2020-03-11
24,25,2020-03-12,0.0042534492882387,2020-03-12,2020-03-12,2020-03-12,2020-03-12,2020-03-12,2020-03-12,2020-03-12
25,26,2020-03-13,0.0042549407616659,2020-03-13,2020-03-13,2020-03-13,2020-03-13,2020-03-13,2020-03-13,2020-03-13
26,27,2020-03-14,0.0042571481904696,2020-03-14,2020-03-14,2020-03-14,2020-03-14,2020-03-14,2020-03-14,2020-03-14
27,28,2020-03-15,0.0042631203012848,2020-03-15,2020-03-15,2020-03-15,2020-03-15,2020-03-15,2020-03-15,2020-03-15
28,29,2020-03-16,0.0042708168998772,2020-03-16,2020-03-16,2020-03-16,2020-03-16,2020-03-16,2020-03-16,2020-03-16
29,30,2020-03-17,0.0042800428652839,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-17
30,31,2020-03-18,0.0042897906101963,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-03-18
31,32,2020-03-19,0.0043046866165016,2020-03-19,2020-03-19,2020-03-19,2020-03-19,2020-03-19,2020-03-19,2020-03-19
32,33,2020-03-20,0.0043241081426065,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20
33,34,2020-03-21,0.0043477491084266,2020-03-21,2020-03-21,2020-03-21,2020-03-21,2020-03-21,2020-03-21,2020-03-21
34,35,2020-03-22,0.0043770912251603,2020-03-22,2020-03-22,2020-03-22,2020-03-22,2020-03-22,2020-03-22,2020-03-22
35,36,2020-03-23,0.0044142411277202,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23
36,37,2020-03-24,0.0051487665545434,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-24
37,38,2020-03-25,0.0081961059686994,2020-03-25,2020-03-25,2020-03-25,2020-03-25,2020-03-25,2020-03-25,2020-03-25
38,39,2020-03-26,0.0082489483269806,2020-03-26,2020-03-26,2020-03-26,2020-03-26,2020-03-26,2020-03-26,2020-03-26
39,40,2020-03-27,0.0083446805039707,2020-03-27,2020-03-27,2020-03-27,2020-03-27,2020-03-27,2020-03-27,2020-03-27
40,41,2020-03-28,0.0084883474827584,2020-03-28,2020-03-28,2020-03-28,2020-03-28,2020-03-28,2020-03-28,2020-03-28
41,42,2020-03-29,0.0086666859529473,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2020-03-29,2020-03-29
42,43,2020-03-30,0.0088746080524442,2020-03-30,2020-03-30,2020-03-30,2020-03-30,2020-03-30,2020-03-30,2020-03-30
43,44,2020-03-31,0.0088640775617019,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31,2020-03-31
44,45,2020-04-01,0.0087617559497295,2020-04-01,2020-04-01,2020-04-01,2020-04-01,2020-04-01,2020-04-01,2020-04-01
45,46,2020-04-02,0.0089658637349043,2020-04-02,2020-04-02,2020-04-02,2020-04-02,2020-04-02,2020-04-02,2020-04-02
46,47,2020-04-03,0.0091400671265274,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-04-03
47,48,2020-04-04,0.0092848818180182,2020-04-04,2020-04-04,2020-04-04,2020-04-04,2020-04-04,2020-04-04,2020-04-04
48,49,2020-04-05,0.0094136479328793,2020-04-05,2020-04-05,2020-04-05,2020-04-05,2020-04-05,2020-04-05,2020-04-05
49,50,2020-04-06,0.0095259237770319,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06
50,51,2020-04-07,0.0095613983117233,2020-04-07,2020-04-07,2020-04-07,2020-04-07,2020-04-07,2020-04-07,2020-04-07
51,52,2020-04-08,0.0095835556496936,2020-04-08,2020-04-08,2020-04-08,2020-04-08,2020-04-08,2020-04-08,2020-04-08
52,53,2020-04-09,0.0096701737451334,2020-04-09,2020-04-09,2020-04-09,2020-04-09,2020-04-09,2020-04-09,2020-04-09
53,54,2020-04-10,0.0097516691128208,2020-04-10,2020-04-10,2020-04-10,2020-04-10,2020-04-10,2020-04-10,2020-04-10
54,55,2020-04-11,0.0098215139662355,2020-04-11,2020-04-11,2020-04-11,2020-04-11,2020-04-11,2020-04-11,2020-04-11
55,56,2020-04-12,0.0098875481647181,2020-04-12,2020-04-12,2020-04-12,2020-04-12,2020-04-12,2020-04-12,2020-04-12
56,57,2020-04-13,0.0099456914701537,2020-04-13,2020-04-13,2020-04-13,2020-04-13,2020-04-13,2020-04-13,2020-04-13
57,58,2020-04-14,0.0099031936453243,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14
58,59,2020-04-15,0.0098656662716631,2020-04-15,2020-04-15,2020-04-15,2020-04-15,2020-04-15,2020-04-15,2020-04-15
59,60,2020-04-16,0.0099187811923634,2020-04-16,2020-04-16,2020-04-16,2020-04-16,2020-04-16,2020-04-16,2020-04-16
60,61,2020-04-17,0.0099612345385913,2020-04-17,2020-04-17,2020-04-17,2020-04-17,2020-04-17,2020-04-17,2020-04-17
61,62,2020-04-18,0.009998008552088,2020-04-18,2020-04-18,2020-04-18,2020-04-18,2020-04-18,2020-04-18,2020-04-18
62,63,2020-04-19,0.0100291883999452,2020-04-19,2020-04-19,2020-04-19,2020-04-19,2020-04-19,2020-04-19,2020-04-19
63,64,2020-04-20,0.0100547649498789,2020-04-20,2020-04-20,2020-04-20,2020-04-20,2020-04-20,2020-04-20,2020-04-20
64,65,2020-04-21,0.0101302311625065,2020-04-21,2020-04-21,2020-04-21,2020-04-21,2020-04-21,2020-04-21,2020-04-21
65,66,2020-04-22,0.0102016713340206,2020-04-22,2020-04-22,2020-04-22,2020-04-22,2020-04-22,2020-04-22,2020-04-22
66,67,2020-04-23,0.0102184462191033,2020-04-23,2020-04-23,2020-04-23,2020-04-23,2020-04-23,2020-04-23,2020-04-23
67,68,2020-04-24,0.0102310873422697,2020-04-24,2020-04-24,2020-04-24,2020-04-24,2020-04-24,2020-04-24,2020-04-24
68,69,2020-04-25,0.0102435304930354,2020-04-25,2020-04-25,2020-04-25,2020-04-25,2020-04-25,2020-04-25,2020-04-25
69,70,2020-04-26,0.0102548919271954,2020-04-26,2020-04-26,2020-04-26,2020-04-26,2020-04-26,2020-04-26,2020-04-26
70,71,2020-04-27,0.0102661492902696,2020-04-27,2020-04-27,2020-04-27,2020-04-27,2020-04-27,2020-04-27,2020-04-27
71,72,2020-04-28,0.010434348785346,2020-04-28,2020-04-28,2020-04-28,2020-04-28,2020-04-28,2020-04-28,2020-04-28
72,73,2020-04-29,0.0105667241680103,2020-04-29,2020-04-29,2020-04-29,2020-04-29,2020-04-29,2020-04-29,2020-04-29
73,74,2020-04-30,0.0105806070139609,2020-04-30,2020-04-30,2020-04-30,2020-04-30,2020-04-30,2020-04-30,2020-04-30
74,75,2020-05-01,0.0105952234435474,2020-05-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01
75,76,2020-05-02,0.0106110166554152,2020-05-02,2020-05-02,2020-05-02,2020-05-02,2020-05-02,2020-05-02,2020-05-02
76,77,2020-05-03,0.0106188060622509,2020-05-03,2020-05-03,2020-05-03,2020-05-03,2020-05-03,2020-05-03,2020-05-03
77,78,2020-05-04,0.0106262311808357,2020-05-04,2020-05-04,2020-05-04,2020-05-04,2020-05-04,2020-05-04,2020-05-04
78,79,2020-05-05,0.0109462896208259,2020-05-05,2020-05-05,2020-05-05,2020-05-05,2020-05-05,2020-05-05,2020-05-05
79,80,2020-05-06,0.0112506416247322,2020-05-06,2020-05-06,2020-05-06,2020-05-06,2020-05-06,2020-05-06,2020-05-06
80,81,2020-05-07,0.0112582915138441,2020-05-07,2020-05-07,2020-05-07,2020-05-07,2020-05-07,2020-05-07,2020-05-07
81,82,2020-05-08,0.0112781102797149,2020-05-08,2020-05-08,2020-05-08,2020-05-08,2020-05-08,2020-05-08,2020-05-08
82,83,2020-05-09,0.0113028599777906,2020-05-09,2020-05-09,2020-05-09,2020-05-09,2020-05-09,2020-05-09,2020-05-09
83,84,2020-05-10,0.0113339168364023,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10
84,85,2020-05-11,0.0113640169691896,2020-05-11,2020-05-11,2020-05-11,2020-05-11,2020-05-11,2020-05-11,2020-05-11
