date,0,magazine,unique page views,magazinepercentofviews,magazineaverage
2020-03-01,238,48,286,16.783216783216783,
2020-03-02,90304,13228,103532,12.776726036394544,
2020-03-03,45154,5096,50250,10.141293532338308,
2020-03-04,49704,4294,53998,7.952146375791696,
2020-03-05,40083,22927,63010,36.38628789081098,
2020-03-06,31180,12655,43835,28.869624729097755,
2020-03-07,32685,7022,39707,17.684539250006296,18.656262085379478
2020-03-08,25954,6924,32878,21.059675162722794,19.267184711023194
2020-03-09,48232,8532,56764,15.030653230921006,19.589174310241265
2020-03-10,50281,4307,54588,7.890012456950246,19.267562728042968
2020-03-11,54886,4585,59471,7.709639992601436,19.232918959015787
2020-03-12,49416,24438,73854,33.089609229019416,18.761964864474134
2020-03-13,42689,12419,55108,22.53574798577339,17.85712532971351
2020-03-14,44782,6617,51399,12.873791318897254,17.169875625269363
2020-03-15,35871,6465,42336,15.270691609977325,16.342877974877155
2020-03-16,50580,4434,55014,8.059766604864215,15.34703702829761
2020-03-17,54171,3196,57367,5.571147175205257,15.0157705594769
2020-03-18,55842,2066,57908,3.5677281204669473,14.424068863457686
2020-03-19,49038,31894,80932,39.40839223051451,15.326752149385557
2020-03-20,50300,15274,65574,23.292768475310336,15.43489793360512
2020-03-21,52918,8539,61457,13.894267536651641,15.580680250427177
2020-03-22,46061,6678,52739,12.66235613113635,15.208060896307035
2020-03-23,69371,5251,74622,7.036798799281713,15.06192263836668
2020-03-24,68703,3472,72175,4.8105299618981645,14.953263036465666
2020-03-25,63506,2396,65902,3.635701496160966,14.962973518707669
2020-03-26,59384,26444,85828,30.81045812555343,13.734697217998944
2020-03-27,56345,14189,70534,20.116539541214166,13.280950227413777
2020-03-28,59640,9613,69253,13.880987105251757,13.279053022928078
2020-03-29,43584,7895,51479,15.336350744963967,13.66105225347488
2020-03-30,65219,6797,72016,9.438180404354588,14.004106768485292
2020-03-31,64318,4124,68442,6.025539873177289,14.177679612953737
2020-04-01,61475,3909,65384,5.978526856723358,14.512368950176937
2020-04-02,55455,30255,85710,35.29926496324816,15.153627069847614
2020-04-03,52964,14708,67672,21.73424754699137,15.384728213530071
2020-04-04,52337,9407,61744,15.23548846851516,15.578228408281985
2020-04-05,47774,12564,60338,20.82269879677815,16.36199241568401
2020-04-06,71399,9497,80896,11.73976463607595,16.690790163072776
2020-04-07,68723,4356,73079,5.960672696670726,16.68152342357184
2020-04-08,58593,4734,63327,7.4754843905443185,16.895374499831977
2020-04-09,50807,23445,74252,31.574907073210152,16.363323372683688
2020-04-10,48972,12027,60999,19.716716667486352,16.075104675611545
2020-04-11,53819,7257,61076,11.881917610845504,15.59602312451588
2020-04-12,43901,6477,50378,12.85680257255151,14.45803794962636
2020-04-13,49402,5554,54956,10.106266831647135,14.224681120422243
2020-04-14,50318,5647,55965,10.090234968283749,14.81461858779553
2020-04-15,57489,3021,60510,4.992563212692117,14.459915562388074
2020-04-16,56471,29338,85809,34.18988684170658,14.833484100744707
2020-04-17,55993,14270,70263,20.309408935001354,14.918154424675421
2020-04-18,53799,8397,62196,13.500868223036852,15.149433083559899
2020-04-19,38838,7517,46355,16.21615791176788,15.629340989162236
2020-04-20,65701,4607,70308,6.552597143994994,15.121673890926218
2020-04-21,64831,2878,67709,4.250542763886632,14.287432147440915
2020-04-22,60667,2954,63621,4.64312098206567,14.237511828779995
2020-04-23,50933,26984,77917,34.63172350064813,14.300631351485931
2020-04-24,47172,14845,62017,23.93698502023639,14.818856506519506
2020-04-25,54075,8840,62915,14.050703329889533,14.897404378927032
2020-04-26,38803,10233,49036,20.868341626560078,15.562002052468774
2020-04-27,54235,10970,65205,16.823863200674797,17.029325774851603
2020-04-28,60535,6673,67208,9.928877514581599,17.840516453522312
2020-04-29,69677,3488,73165,4.767306772363835,17.858257280707765
