,Beds occupied non-Covid,Beds occupied Covid,Beds unoccupied,Total beds,% Covid beds
17-Nov-20,63790,11777,7892,83459,14.11112043
18-Nov-20,64244,11830,8078,84152,14.05789524
19-Nov-20,64354,11898,8689,84941,14.00736982
20-Nov-20,63258,11681,9476,84415,13.83758811
21-Nov-20,61725,11494,11212,84431,13.6134832
22-Nov-20,61323,11718,10757,83798,13.98362729
23-Nov-20,62864,12022,9817,84703,14.19312185
24-Nov-20,64065,11861,9012,84938,13.96430337
25-Nov-20,64228,11629,9237,85094,13.66606341
26-Nov-20,63774,11363,9600,84737,13.40972657
27-Nov-20,63677,11207,10046,84930,13.19557282
28-Nov-20,61245,10594,11396,83235,12.72781883
29-Nov-20,61980,11015,11433,84428,13.0466196
30-Nov-20,63427,11294,9986,84707,13.33301852
01-Dec-20,63932,11083,9353,84368,13.13649725
02-Dec-20,64143,10875,9186,84204,12.91506342
03-Dec-20,63841,10568,9537,83946,12.58904534
04-Dec-20,64933,10644,9301,84878,12.54035203
05-Dec-20,63517,10619,10658,84794,12.52329174
06-Dec-20,63629,10822,9917,84368,12.82713825
07-Dec-20,65475,11232,8707,85414,13.15006908
08-Dec-20,66490,11187,7603,85280,13.11796435
09-Dec-20,65198,11029,7545,83772,13.16549682
10-Dec-20,66001,11270,7644,84915,13.27209563
11-Dec-20,66039,11379,7813,85231,13.35077613
12-Dec-20,63833,11342,9296,84471,13.42709332
13-Dec-20,64232,11897,8780,84909,14.0114711
14-Dec-20,65052,12457,7672,85181,14.62415327
15-Dec-20,64890,12423,6705,84018,14.78611726
16-Dec-20,65071,12779,7142,84992,15.03553276
17-Dec-20,64910,13043,7491,85444,15.26496887
18-Dec-20,62997,13052,8167,84216,15.49824261
19-Dec-20,61266,13253,9895,84414,15.70000237
20-Dec-20,60200,13724,9533,83457,16.44439652
21-Dec-20,61816,14614,8546,84976,17.19779703
22-Dec-20,61291,14902,8624,84817,17.569591
23-Dec-20,58339,14688,10414,83441,17.60285711
24-Dec-20,56075,14922,12595,83592,17.85099053
25-Dec-20,49067,14302,18397,81766,17.49137783
26-Dec-20,50540,14937,16974,82451,18.11621448
27-Dec-20,52457,15706,13647,81810,19.19814204
28-Dec-20,55204,16786,11275,83265,20.15973098
29-Dec-20,57283,18008,8885,84176,21.39327124
30-Dec-20,58273,18824,8141,85238,22.08404702
31-Dec-20,57382,18706,8392,84480,22.14251894
01-Jan-21,54400,18511,10838,83749,22.10295048
02-Jan-21,54498,19272,9909,83679,23.03086796
03-Jan-21,55084,20423,8674,84181,24.26081895
04-Jan-21,56506,21716,7285,85507,25.39675114
05-Jan-21,56739,21693,6516,84948,25.53679898
06-Jan-21,56750,22550,7476,86776,25.98644787
07-Jan-21,54629,22777,7728,85134,26.75429323
08-Jan-21,54673,23507,8408,86588,27.14810366
09-Jan-21,52323,23577,9636,85536,27.56383277
10-Jan-21,51999,24670,9224,85893,28.72178175
11-Jan-21,52180,25663,7910,85753,29.9266498
12-Jan-21,52487,25819,7799,86105,29.98548284
13-Jan-21,51805,25984,8582,86371,30.08417177
14-Jan-21,50630,25902,9039,85571,30.26960068
15-Jan-21,50367,26180,9714,86261,30.3497525
16-Jan-21,49496,25656,10872,86024,29.8242351
17-Jan-21,49327,25922,10115,85364,30.36643081
18-Jan-21,50204,26902,8696,85802,31.3535815
19-Jan-21,50987,26619,8081,85687,31.06538915
20-Jan-21,51015,26452,8485,85952,30.77531646
21-Jan-21,50686,26069,8598,85353,30.54257027
22-Jan-21,51266,25997,8828,86091,30.197117
23-Jan-21,51168,25294,9996,86458,29.25582364
24-Jan-21,51029,25519,9804,86352,29.55229757
25-Jan-21,51958,25607,8431,85996,29.77696637
26-Jan-21,53265,25130,8318,86713,28.98066034
27-Jan-21,53126,23811,9027,85964,27.69880415
28-Jan-21,53275,23347,9861,86483,26.99605703
29-Jan-21,53349,22501,10269,86119,26.1277999
30-Jan-21,52609,21773,11116,85498,25.46609277
31-Jan-21,52334,21589,10578,84501,25.54881007
01-Feb-21,54775,21907,9355,86037,25.4623011
02-Feb-21,55325,21003,9084,85412,24.59022151
03-Feb-21,55815,20237,9673,85725,23.60688247
04-Feb-21,56617,19393,10114,86124,22.51753286
05-Feb-21,56553,18609,10698,85860,21.67365479
06-Feb-21,55077,17464,12162,84703,20.6179238
07-Feb-21,56031,17470,11837,85338,20.47153671
08-Feb-21,57371,17534,10661,85566,20.49178412
09-Feb-21,58063,16871,10212,85146,19.81420149
10-Feb-21,58374,15967,11110,85451,18.68556249
11-Feb-21,58395,15258,11581,85234,17.90130699
12-Feb-21,58310,14427,12120,84857,17.00154377
13-Feb-21,56331,13298,13243,82872,16.04643305
14-Feb-21,57995,13428,13048,84471,15.89657989
15-Feb-21,59879,13426,11378,84683,15.85442178
16-Feb-21,61297,12912,10032,84241,15.32745338
17-Feb-21,62421,12456,9886,84763,14.69509102
18-Feb-21,62415,11763,10337,84515,13.91823937
19-Feb-21,62388,11251,10979,84618,13.29622539
20-Feb-21,61694,10758,12050,84502,12.73105962
21-Feb-21,62355,10586,11763,84704,12.49763884
22-Feb-21,64002,10641,9513,84156,12.64437473
23-Feb-21,65356,10362,8751,84469,12.26722229
24-Feb-21,65919,9856,9425,85200,11.56807512
25-Feb-21,65821,9375,9775,84971,11.03317602
26-Feb-21,65548,8805,10584,84937,10.36650694
27-Feb-21,63885,8243,12873,85001,9.69753297
28-Feb-21,63090,7935,12265,83290,9.526954016
01-Mar-21,66079,8064,10689,84832,9.50584685
02-Mar-21,67208,7612,10167,84987,8.95666396
03-Mar-21,66975,7133,10915,85023,8.389494607
04-Mar-21,66690,6791,11260,84741,8.013830377
05-Mar-21,66625,6370,11757,84752,7.516046819
06-Mar-21,64495,5972,14240,84707,7.050184755
07-Mar-21,64421,5833,13505,83759,6.964027746
08-Mar-21,66917,5840,11443,84200,6.935866983
09-Mar-21,68740,5574,10487,84801,6.573035695
10-Mar-21,68441,5183,10617,84241,6.152586033
11-Mar-21,68596,4941,11154,84691,5.834150028
12-Mar-21,69008,4751,10924,84683,5.610335014
13-Mar-21,67547,4509,12337,84393,5.34286019
14-Mar-21,68081,4494,11921,84496,5.318594963
