date,unique page views,ga:users,pageviews per subscriber,average
2020-03-01,74,30,2.466666666666667,
2020-03-02,31601,9956,3.174065889915629,
2020-03-03,28426,10083,2.8192006347317267,
2020-03-04,33763,10427,3.2380358684185286,
2020-03-05,40029,11713,3.4174848458977203,
2020-03-06,24169,9511,2.54116286405215,
2020-03-07,25185,8383,3.0042944053441487,2.95155873928951
2020-03-08,19104,7556,2.528321863419799,2.960366624539957
2020-03-09,36864,11158,3.3038178885104856,2.9789026243392227
2020-03-10,34409,10677,3.2227217383160065,3.0365484962798344
2020-03-11,38463,10940,3.51581352833638,3.0762310191252418
2020-03-12,49420,12327,4.00908574673481,3.16074543353054
2020-03-13,34298,10812,3.172216056233814,3.250895889556492
2020-03-14,34313,10700,3.206822429906542,3.279828464493977
2020-03-15,24680,8501,2.903187860251735,3.3333807497556824
2020-03-16,33418,10335,3.2334784712143203,3.3233322615705156
2020-03-17,35662,10848,3.2874262536873156,3.3325757637664166
2020-03-18,36903,10915,3.3809436555199266,3.3133086390783517
2020-03-19,54565,13036,4.18571647744707,3.3385416006086746
2020-03-20,41915,12315,3.4035728786033292,3.3715925752328912
2020-03-21,40293,12209,3.3002702924072405,3.384942269875848
2020-03-22,32518,9678,3.3599917338293035,3.4501999661012155
2020-03-23,49606,13232,3.7489419588875452,3.52383760719739
2020-03-24,48152,13164,3.6578547553934975,3.5767559645839877
2020-03-25,42294,11935,3.5436950146627564,3.6000061587472487
2020-03-26,57258,14290,4.006857942617215,3.574454939485841
2020-03-27,44812,12483,3.589842185372106,3.601064840452809
2020-03-28,45778,13255,3.453640135797812,3.6229748180800336
2020-03-29,29706,9699,3.0627899783482833,3.5805174244398876
2020-03-30,45891,13107,3.5012588693064775,3.5451341259283065
2020-03-31,42822,13035,3.285155350978136,3.491891353868969
2020-04-01,39247,12710,3.0878835562549174,3.426775431239278
2020-04-02,55487,15120,3.669775132275132,3.378620744047552
2020-04-03,42015,12740,3.2978806907378337,3.336911959099799
2020-04-04,39063,12292,3.177920598763423,3.297523453809172
2020-04-05,38235,10139,3.7710819607456356,3.398708022723079
2020-04-06,51541,14304,3.6032578299776286,3.413279302818958
2020-04-07,44906,13641,3.2919873909537425,3.4142553085297593
2020-04-08,37399,12645,2.957611704230921,3.3956450439549024
2020-04-09,46291,13427,3.447605570864676,3.36390653518198
2020-04-10,37862,11178,3.3871891214886385,3.376664882432095
2020-04-11,38827,11812,3.287080934642736,3.39225921612914
2020-04-12,29928,9393,3.186202491216864,3.3087050061964582
2020-04-13,30938,11010,2.8099909173478657,3.1953811615350634
2020-04-14,32746,10761,3.043025741102128,3.159815211556261
2020-04-15,36842,11689,3.1518521687056205,3.1875638493383613
2020-04-16,57381,14803,3.8763088563129093,3.248807175830966
2020-04-17,44604,13116,3.4007319304666055,3.2507418628278186
2020-04-18,39169,12414,3.1552279684227487,3.2319057247963916
2020-04-19,25955,9368,2.770602049530316,3.1725342331268847
2020-04-20,45065,12923,3.4871933761510485,3.26927744152734
2020-04-21,42400,12615,3.361078081648831,3.3147134901768687
2020-04-22,38759,12360,3.13584142394822,3.3124262409258107
2020-04-23,48441,14238,3.4022334597555837,3.244701184274765
2020-04-24,37026,12765,2.900587544065805,3.1732519862175077
2020-04-25,40231,13173,3.0540499506566463,3.158797983679493
2020-04-26,28105,9692,2.899814279818407,3.177256873720649
2020-04-27,39518,12732,3.103832862079799,3.1224910859961845
2020-04-28,41281,13101,3.1509808411571636,3.092477194497375
2020-04-29,47641,13365,3.5646090534979424,3.153729713004478
2020-04-30,60138,15308,3.9285340998170892,3.22891551872755
2020-05-01,40168,12632,3.1798606713109563,3.268811679762572
2020-05-02,40756,12691,3.2114096603892524,3.291291638295801
2020-05-03,27674,9672,2.861248966087676,3.28578230776284
2020-05-04,36738,12433,2.954878146867208,3.2645030627324694
2020-05-05,39891,12987,3.071610071610072,3.2531643813685998
2020-05-06,43764,13687,3.1974866661795867,3.200718326037406
2020-05-07,52555,14710,3.5727396329027874,3.1498905450496486
2020-05-08,44301,12821,3.4553466968255204,3.189245691551729
2020-05-09,41260,13472,3.062648456057007,3.167994090932837
2020-05-10,29596,10711,2.763140696480254,3.1539786238460623
2020-05-11,37803,13169,2.870605209203432,3.1419396327512374
2020-05-12,40657,13124,3.097912221883572,3.1456970827903086
2020-05-13,37228,12575,2.9604771371769383,3.111838578647073
2020-05-14,49060,14014,3.500784929356358,3.101559335283297
2020-05-15,41913,12581,3.331452189810031,3.0838601199953706
2020-05-16,38654,12826,3.013722126929674,3.0768706444057514
2020-05-17,25504,9306,2.7405974640017194,3.0736501826231035
2020-05-18,37370,12663,2.951117428729369,3.085151928269666
2020-05-19,39439,12995,3.034936514043863,3.076155398578279
2020-05-20,40062,12502,3.2044472884338506,3.111008277329266
2020-05-21,59497,14728,4.039720260727865,3.187999038953767
2020-05-22,44408,12752,3.482434127979925,3.209567887263752
2020-05-23,46238,13894,3.327911328631064,3.2544520589353794
2020-05-24,38437,11199,3.432181444771855,3.3532497704739703
2020-05-25,51013,13086,3.8982882469815068,3.4885598873671326
2020-05-26,62496,15769,3.963218973936204,3.621171667351753
2020-05-27,49243,14838,3.3187087208518666,3.6374947291257556
2020-05-28,68311,16356,4.176510149180729,3.6570361417618784
2020-05-29,47084,13679,3.4420644783975436,3.6512690489643953
2020-05-30,47445,14254,3.328539357373369,3.6513587673561534
2020-05-31,32986,10477,3.148420349336642,3.6108214680082655
2020-06-01,44559,13560,3.286061946902655,3.5233605679970017
2020-06-02,47572,15176,3.1346863468634685,3.4049987641294677
2020-06-03,47235,14304,3.3022231543624163,3.402643683202403
2020-06-04,67982,16509,4.117875098431159,3.3942672473810362
