,date,PCCF hospitalizations per day,PHE actual hospitalizations per day,21st June,28th June,5th July,12th July,19th July,23rd August
0,15-Dec-20,1831,1730.0,,,,,,
1,16-Dec-20,1845,1796.0,,,,,,
2,17-Dec-20,1866,1873.0,,,,,,
3,18-Dec-20,1909,1672.0,,,,,,
4,19-Dec-20,1956,1812.0,,,,,,
5,20-Dec-20,2009,1976.0,,,,,,
6,21-Dec-20,2061,2115.0,,,,,,
7,22-Dec-20,2121,2203.0,,,,,,
8,23-Dec-20,2179,1980.0,,,,,,
9,24-Dec-20,2240,1795.0,,,,,,
10,25-Dec-20,2288,1952.0,,,,,,
11,26-Dec-20,2339,2298.0,,,,,,
12,27-Dec-20,2397,2572.0,,,,,,
13,28-Dec-20,2484,2795.0,,,,,,
14,29-Dec-20,2560,2886.0,,,,,,
15,30-Dec-20,2644,2861.0,,,,,,
16,31-Dec-20,2756,2536.0,,,,,,
17,01-Jan-21,2881,3010.0,,,,,,
18,02-Jan-21,3010,3145.0,,,,,,
19,03-Jan-21,3145,3351.0,,,,,,
20,04-Jan-21,3270,3587.0,,,,,,
21,05-Jan-21,3407,3697.0,,,,,,
22,06-Jan-21,3540,3967.0,,,,,,
23,07-Jan-21,3641,3849.0,,,,,,
24,08-Jan-21,3729,3549.0,,,,,,
25,09-Jan-21,3798,3718.0,,,,,,
26,10-Jan-21,3844,3571.0,,,,,,
27,11-Jan-21,3871,3894.0,,,,,,
28,12-Jan-21,3896,4134.0,,,,,,
29,13-Jan-21,3900,3840.0,,,,,,
30,14-Jan-21,3880,3678.0,,,,,,
31,15-Jan-21,3844,3295.0,,,,,,
32,16-Jan-21,3800,3569.0,,,,,,
33,17-Jan-21,3753,3424.0,,,,,,
34,18-Jan-21,3695,3711.0,,,,,,
35,19-Jan-21,3628,3768.0,,,,,,
36,20-Jan-21,3554,3679.0,,,,,,
37,21-Jan-21,3471,3237.0,,,,,,
38,22-Jan-21,3382,3016.0,,,,,,
39,23-Jan-21,3286,2780.0,,,,,,
40,24-Jan-21,3182,2824.0,,,,,,
41,25-Jan-21,3076,2648.0,,,,,,
42,26-Jan-21,2970,2799.0,,,,,,
43,27-Jan-21,2859,2742.0,,,,,,
44,28-Jan-21,2745,2719.0,,,,,,
45,29-Jan-21,2627,2379.0,,,,,,
46,30-Jan-21,2510,2193.0,,,,,,
47,31-Jan-21,2394,2183.0,,,,,,
48,01-Feb-21,2281,2347.0,,,,,,
49,02-Feb-21,2165,2222.0,,,,,,
50,03-Feb-21,2052,2096.0,,,,,,
51,04-Feb-21,1946,1907.0,,,,,,
52,05-Feb-21,1843,1757.0,,,,,,
53,06-Feb-21,1745,1679.0,,,,,,
54,07-Feb-21,1650,1675.0,,,,,,
55,08-Feb-21,1560,1739.0,,,,,,
56,09-Feb-21,1474,1531.0,,,,,,
57,10-Feb-21,1394,1535.0,,,,,,
58,11-Feb-21,1318,1440.0,,,,,,
59,12-Feb-21,1245,1318.0,,,,,,
60,13-Feb-21,1177,1240.0,,,,,,
61,14-Feb-21,1113,1364.0,,,,,,
62,15-Feb-21,1053,1322.0,,,,,,
63,16-Feb-21,1326,1311.0,,,,,,
64,17-Feb-21,1251,1233.0,,,,,,
65,18-Feb-21,1183,1149.0,,,,,,
66,19-Feb-21,1119,1068.0,,,,,,
67,20-Feb-21,1061,904.0,,,,,,
68,21-Feb-21,1008,1009.0,,,,,,
69,22-Feb-21,960,980.0,,,,,,
70,23-Feb-21,915,976.0,,,,,,
71,24-Feb-21,872,874.0,,,,,,
72,25-Feb-21,830,832.0,,,,,,
73,26-Feb-21,790,718.0,,,,,,
74,27-Feb-21,751,624.0,,,,,,
75,28-Feb-21,714,662.0,,,,,,
76,01-Mar-21,678,704.0,,,,,,
77,02-Mar-21,643,683.0,,,,,,
78,03-Mar-21,610,607.0,,,,,,
79,04-Mar-21,579,596.0,,,,,,
80,05-Mar-21,549,487.0,,,,,,
81,06-Mar-21,520,528.0,,,,,,
82,07-Mar-21,493,461.0,,,,,,
83,08-Mar-21,467,501.0,,,,,,
84,09-Mar-21,442,483.0,,,,,,
85,10-Mar-21,418,494.0,,,,,,
86,11-Mar-21,396,449.0,,,,,,
87,12-Mar-21,375,386.0,,,,,,
88,13-Mar-21,357,385.0,,,,,,
89,14-Mar-21,340,357.0,,,,,,
90,15-Mar-21,325,431.0,,,,,,
91,16-Mar-21,312,364.0,,,,,,
92,17-Mar-21,300,343.0,,,,,,
93,18-Mar-21,289,351.0,,,,,,
94,19-Mar-21,279,283.0,,,,,,
95,20-Mar-21,270,287.0,,,,,,
96,21-Mar-21,261,279.0,,,,,,
97,22-Mar-21,252,294.0,,,,,,
98,23-Mar-21,244,295.0,,,,,,
99,24-Mar-21,237,277.0,,,,,,
100,25-Mar-21,231,288.0,,,,,,
101,26-Mar-21,225,245.0,,,,,,
102,27-Mar-21,220,217.0,,,,,,
103,28-Mar-21,215,221.0,,,,,,
104,29-Mar-21,210,206.0,,,,,,
105,30-Mar-21,206,217.0,,,,,,
106,31-Mar-21,202,225.0,,,,,,
107,01-Apr-21,200,180.0,,,,,,
108,02-Apr-21,198,178.0,,,,,,
109,03-Apr-21,195,179.0,,,,,,
110,04-Apr-21,192,156.0,,,,,,
111,05-Apr-21,190,188.0,,,,,,
112,06-Apr-21,187,183.0,,,,,,
113,07-Apr-21,184,189.0,,,,,,
114,08-Apr-21,180,167.0,,,,,,
115,09-Apr-21,175,167.0,,,,,,
116,10-Apr-21,171,151.0,,,,,,
117,11-Apr-21,167,175.0,,,,,,
118,12-Apr-21,164,173.0,,,,,,
119,13-Apr-21,160,153.0,,,,,,
120,14-Apr-21,156,156.0,,,,,,
121,15-Apr-21,153,127.0,,,,,,
122,16-Apr-21,149,118.0,,,,,,
123,17-Apr-21,146,135.0,,,,,,
124,18-Apr-21,144,112.0,,,,,,
125,19-Apr-21,141,138.0,,,,,,
126,20-Apr-21,139,98.0,,,,,,
127,21-Apr-21,136,126.0,,,,,,
128,22-Apr-21,134,92.0,,,,,,
129,23-Apr-21,132,124.0,,,,,,
130,24-Apr-21,130,99.0,,,,,,
131,25-Apr-21,128,107.0,,,,,,
132,26-Apr-21,126,108.0,,,,,,
133,27-Apr-21,125,128.0,,,,,,
134,28-Apr-21,123,89.0,,,,,,
135,29-Apr-21,122,80.0,,,,,,
136,30-Apr-21,120,82.0,,,,,,
137,01-May-21,119,68.0,,,,,,
138,02-May-21,118,92.0,,,,,,
139,03-May-21,117,98.0,,,,,,
140,04-May-21,116,76.0,,,,,,
141,05-May-21,115,96.0,,,,,,
142,06-May-21,114,88.0,,,,,,
143,07-May-21,113,77.0,,,,,,
144,08-May-21,112,80.0,,,,,,
145,09-May-21,111,76.0,,,,,,
146,10-May-21,111,76.0,,,,,,
147,11-May-21,110,79.0,,,,,,
148,12-May-21,110,93.0,,,,,,
149,13-May-21,109,74.0,,,,,,
150,14-May-21,108,72.0,,,,,,
151,15-May-21,108,70.0,,,,,,
152,16-May-21,107,59.0,,,,,,
153,17-May-21,107,74.0,,,,,,
154,18-May-21,107,90.0,,,,,,
155,19-May-21,106,93.0,,,,,,
156,20-May-21,106,98.0,,,,,,
157,21-May-21,105,85.0,,,,,,
158,22-May-21,105,75.0,,,,,,
159,23-May-21,105,77.0,,,,,,
160,24-May-21,105,98.0,,,,,,
161,25-May-21,104,88.0,,,,,,
162,26-May-21,104,95.0,,,,,,
163,27-May-21,104,83.0,,,,,,
164,28-May-21,104,92.0,,,,,,
165,29-May-21,104,69.0,,,,,,
166,30-May-21,105,80.0,,,,,,
167,31-May-21,105,98.0,,,,,,
168,01-Jun-21,105,115.0,,,,,,
169,02-Jun-21,105,101.0,,,,,,
170,03-Jun-21,106,93.0,,,,,,
171,04-Jun-21,106,96.0,,,,,,
172,05-Jun-21,107,96.0,,,,,,
173,06-Jun-21,108,121.0,,,,,,
174,07-Jun-21,109,131.0,,,,,,
175,08-Jun-21,110,147.0,,,,,,
176,09-Jun-21,112,158.0,,,,,,
177,10-Jun-21,113,162.0,,,,,,
178,11-Jun-21,115,144.0,,,,,,
179,12-Jun-21,117,137.0,185.288,153.545,171.359,166.705,149.981,186.449
180,13-Jun-21,119,187.0,181.989,169.006,197.751,173.303,171.975,199.391
181,14-Jun-21,122,185.0,178.69,185.801,224.143,179.901,193.968,213.467
182,15-Jun-21,124,188.0,175.786,202.596,249.206,186.499,215.962,227.543
183,16-Jun-21,127,177.0,199.779,219.391,271.828,193.097,237.956,241.619
184,17-Jun-21,129,202.0,223.772,237.502,294.45,207.71,259.31,255.695
185,18-Jun-21,132,185.0,247.765,258.03,317.072,237.035,279.493,269.771
186,19-Jun-21,135,178.0,271.758,278.557,339.694,266.36,299.675,295.67
187,20-Jun-21,138,171.0,296.818,299.084,362.316,295.684,319.857,326.861
188,21-Jun-21,141,181.0,323.21,319.612,393.025,325.701,340.04,358.052
189,22-Jun-21,144,182.0,349.602,340.139,430.728,356.154,360.222,389.243
190,23-Jun-21,147,214.0,375.994,360.666,468.431,386.606,380.404,421.129
191,24-Jun-21,151,194.0,433.412,381.194,506.135,417.059,410.037,458.078
192,25-Jun-21,154,206.0,503.791,429.927,543.838,447.512,462.821,495.028
193,26-Jun-21,158,223.0,566.223,482.711,581.541,483.272,515.606,531.977
194,27-Jun-21,162,226.0,599.213,535.496,634.57,538.696,568.39,568.926
195,28-Jun-21,166,244.0,632.204,592.917,693.564,594.12,616.925,615.508
196,29-Jun-21,170,283.0,665.194,650.5,752.559,649.544,665.311,662.428
197,30-Jun-21,174,331.0,733.374,708.083,811.554,704.942,713.697,709.348
198,01-Jul-21,178,295.0,805.953,765.666,870.548,759.926,762.083,756.933
199,02-Jul-21,183,307.0,878.532,823.091,929.543,814.91,810.469,806.785
200,03-Jul-21,187,323.0,1012.023,880.274,988.537,869.894,858.854,856.637
201,04-Jul-21,192,390.0,1192.37,937.458,1037.146,924.878,907.24,906.489
202,05-Jul-21,196,416.0,1367.06,994.641,1080.334,978.084,955.626,952.407
203,06-Jul-21,201,458.0,1469.33,1051.824,1123.521,1008.537,1004.012,994.195
204,07-Jul-21,206,461.0,1571.6,1150.551,1166.708,1038.989,1052.398,1035.982
205,08-Jul-21,211,488.0,1673.87,1302.836,1211.878,1069.442,1087.651,1077.77
206,09-Jul-21,216,451.0,1833.945,1424.24,1277.859,1099.894,1122.841,1119.558
207,10-Jul-21,221,442.0,2013.413,1542.432,1343.839,1130.347,1158.031,1154.816
208,11-Jul-21,226,502.0,2140.726,1626.887,1409.82,1163.39,1193.22,1183.608
209,12-Jul-21,231,610.0,2242.525,1711.546,1488.391,1197.7,1228.41,1212.399
210,13-Jul-21,236,621.0,2344.324,1817.115,1570.867,1232.01,1263.6,1241.191
211,14-Jul-21,241,636.0,2407.032,1925.307,1653.343,1266.32,1270.251,1269.983
212,15-Jul-21,246,658.0,2457.617,2038.417,1724.424,1297.901,1268.052,1267.008
213,16-Jul-21,251,593.0,2508.202,2151.527,1780.979,1326.933,1265.852,1261.73
214,17-Jul-21,256,622.0,2558.788,2226.515,1837.534,1355.964,1263.653,1256.451
215,18-Jul-21,261,698.0,2609.373,2252.907,1886.826,1384.996,1261.454,1251.173
216,19-Jul-21,266,752.0,2603.245,2279.299,1929.713,1422.634,1264.697,1234.604
217,20-Jul-21,271,805.0,2580.913,2305.692,1972.6,1475.418,1269.496,1214.81
218,21-Jul-21,276,783.0,2558.581,2319.932,2004.229,1528.203,1274.294,1195.016
219,22-Jul-21,281,827.0,2536.249,2303.691,1992.918,1550.388,1279.093,1175.222
220,23-Jul-21,285,725.0,2513.917,2287.449,1981.607,1567.982,1284.265,1155.428
221,24-Jul-21,290,734.0,2482.952,2271.208,1971.313,1585.577,1290.863,1125.178
222,25-Jul-21,294,836.0,2437.708,2254.967,1963.395,1603.172,1297.461,1092.188
223,26-Jul-21,311,830.0,2392.464,2238.725,1955.477,1620.767,1304.06,1059.198
224,27-Jul-21,329,816.0,2316.478,2185.511,1947.56,1620.686,1310.658,1001.473
225,28-Jul-21,348,728.0,2205.63,2127.448,1930.271,1618.287,1314.323,915.698
226,29-Jul-21,367,758.0,2097.935,2057.674,1857.692,1615.887,1307.725,876.193
227,30-Jul-21,387,650.0,1995.144,1985.095,1775.551,1613.488,1301.127,847.77
228,31-Jul-21,407,593.0,1892.353,1912.517,1683.178,1598.582,1294.529,819.348
229,01-Aug-21,427,645.0,1789.562,1839.938,1601.642,1556.355,1287.931,790.925
230,02-Aug-21,448,686.0,1686.771,1767.359,1522.465,1514.127,1279.424,762.503
231,03-Aug-21,469,680.0,1583.98,1660.462,1433.471,1471.899,1264.762,731.334
232,04-Aug-21,490,747.0,1481.189,1546.095,1331.344,1430.092,1250.099,696.144
233,05-Aug-21,510,693.0,1378.398,1431.729,1162.196,1390.504,1235.437,660.955
234,06-Aug-21,530,657.0,1288.499,1319.891,1118.209,1350.915,1208.372,625.765
235,07-Aug-21,550,630.0,1211.617,1236.315,1074.221,1311.327,1168.783,590.575
236,08-Aug-21,568,651.0,1134.735,1152.74,1026.421,1227.624,1129.054,555.386
237,09-Aug-21,585,665.0,1057.853,1069.164,977.407,1132.956,1060.435,518.054
238,10-Aug-21,601,760.0,980.972,985.588,928.393,1027.387,991.815,470.548
239,11-Aug-21,615,747.0,904.09,905.413,862.709,921.818,923.195,424.444
240,12-Aug-21,627,758.0,827.208,857.027,794.089,816.248,854.575,391.454
