,date,newCasesBySpecimenDate,newAdmissions,casesshifted,ratio,average,0-64,65+,0-64admissions,65+admissions,0-64admissionsnew,65+admissionsnew,casesshifted0-64,ratio0-64,average0-64,casesshifted65+,ratio65+,average65+
0,2021-10-13,9551,,26576.0,,,,,,,,,,,,,,
1,2021-10-12,30991,13.0,21403.0,0.06073914871746951,,,,,,,,,,,,,
2,2021-10-11,41040,685.0,23607.0,2.90168170457915,,,,,,,,,,,,,
3,2021-10-10,30654,606.0,26232.0,2.310155535224154,,,,,,,,,,,,,
4,2021-10-09,26423,613.0,28131.0,2.179090682876542,1.9806470726760652,22697.0,2108.0,190730.0,277118.0,289.0,324.0,,,,,,
5,2021-10-08,29138,619.0,28998.0,2.134629974480999,2.3870360645891884,24802.0,2481.0,190441.0,276794.0,279.0,339.0,,,,,,
6,2021-10-07,31478,634.0,33881.0,1.8712552758183052,2.3278817734116015,27057.0,2427.0,190162.0,276455.0,307.0,327.0,,,,,,
7,2021-10-06,31837,632.0,26257.0,2.406977187035838,2.2953389702711777,27615.0,2285.0,189855.0,276128.0,279.0,353.0,,,,,,
8,2021-10-05,31519,658.0,22647.0,2.9054620921093304,2.262392698465743,27407.0,2205.0,189576.0,275775.0,296.0,362.0,,,,,,
9,2021-10-04,35726,627.0,25205.0,2.4876016663360443,2.2054531521020144,31279.0,2269.0,189280.0,275413.0,312.0,315.0,,,,,,
10,2021-10-03,26576,577.0,27709.0,2.082355913241185,2.1889249235271557,23468.0,1558.0,188968.0,275098.0,307.0,270.0,,,,,,
11,2021-10-02,21403,549.0,28176.0,1.948466780238501,2.213122955595947,18640.0,1451.0,188661.0,274828.0,293.0,256.0,,,,,,
12,2021-10-01,23607,520.0,29953.0,1.7360531499348981,2.2129831468373595,20290.0,1833.0,188368.0,274572.0,269.0,251.0,,,,,,
13,2021-09-30,26232,552.0,31443.0,1.7555576757942943,2.25986986440402,22946.0,1671.0,188099.0,274321.0,289.0,263.0,,,,,,
14,2021-09-29,28131,625.0,24259.0,2.576363411517375,2.3140772300625785,24602.0,1749.0,187810.0,274058.0,342.0,283.0,22697.0,15.068070670132617,,2108.0,134.2504743833017,
15,2021-09-28,28998,596.0,20520.0,2.9044834307992202,2.374063848579375,25496.0,1725.0,187468.0,273775.0,293.0,304.0,24802.0,11.813563422304652,,2481.0,122.53123740427246,
16,2021-09-27,33881,617.0,21912.0,2.8158086893026653,2.4853763215316165,29946.0,1928.0,187175.0,273471.0,295.0,324.0,27057.0,10.902908674280223,,2427.0,133.4981458590853,
17,2021-09-26,26257,535.0,21732.0,2.4618074728510955,2.569195388178662,23347.0,1448.0,186880.0,273147.0,292.0,243.0,27615.0,10.573963425674453,11.197568742937605,2285.0,106.34573304157549,132.95970590521705
18,2021-09-25,22647,520.0,21956.0,2.3683731098560754,2.667788927757207,19805.0,1449.0,186588.0,272904.0,245.0,275.0,27407.0,8.939322071003758,11.221566004653793,2205.0,124.71655328798185,142.03744162145503
19,2021-09-24,25205,557.0,22145.0,2.515240460600587,2.771028656959776,21948.0,1681.0,186343.0,272629.0,273.0,284.0,31279.0,8.727900508328272,11.744714622279918,2269.0,125.165271044513,146.97861860204645
20,2021-09-23,27709,577.0,24634.0,2.3422911423236177,2.790514456392469,24203.0,1779.0,186070.0,272345.0,290.0,287.0,23468.0,12.35725242883927,12.123379173586503,1558.0,184.21052631578945,153.1275968246222
21,2021-09-22,28176,572.0,17511.0,3.2665181885671863,2.78067123929173,24756.0,1677.0,185780.0,272058.0,284.0,287.0,18640.0,15.236051502145923,12.256117230896342,1451.0,197.7946243969676,161.1322781045605
22,2021-09-21,29953,602.0,16597.0,3.6271615352172075,2.761553324112749,26496.0,1717.0,185496.0,271771.0,314.0,288.0,20290.0,15.47560374568753,12.51432605064223,1833.0,157.11947626841243,167.0009278418881
23,2021-09-20,31443,606.0,20527.0,2.9522092853315147,2.6843324945551026,27912.0,1748.0,185182.0,271483.0,311.0,295.0,22946.0,13.553560533426305,12.598450290357537,1671.0,176.5409934171155,168.4592382617295
24,2021-09-19,24259,572.0,23904.0,2.392904953145917,2.6462812115806686,21546.0,1363.0,184871.0,271188.0,283.0,284.0,24602.0,11.503129826843347,12.956374695107547,1749.0,162.37850200114352,174.2073793326388
25,2021-09-18,20520,560.0,25061.0,2.234547703603208,2.609519855336348,17953.0,1338.0,184588.0,270904.0,274.0,286.0,25496.0,10.746783809224976,13.152934005526996,1725.0,165.79710144927537,181.6406425928965
26,2021-09-17,21912,540.0,27346.0,1.974694653697067,2.527345288980427,18904.0,1598.0,184314.0,270618.0,279.0,261.0,29946.0,9.316770186335404,13.207227588994737,1928.0,135.37344398340247,189.19415329169811
27,2021-09-16,21732,672.0,32371.0,2.0759321615025796,2.4552354630355544,18692.0,1572.0,184035.0,270357.0,347.0,325.0,23347.0,14.862723262089348,13.289644611733848,1448.0,224.44751381215468,191.75848098068485
28,2021-09-15,21956,691.0,22963.0,3.0091886948569435,2.4269865605189387,18941.0,1579.0,183688.0,270032.0,329.0,362.0,19805.0,16.61196667508205,13.498705145438038,1449.0,249.82746721877155,197.2692785055236
29,2021-09-14,22145,701.0,22969.0,3.051939570725761,2.407472218414687,19042.0,1674.0,183359.0,269670.0,348.0,353.0,21948.0,15.855658829961726,13.591728438392096,1681.0,209.9940511600238,202.2885294258659
30,2021-09-13,24634,688.0,28111.0,2.447440503717406,2.420999449435965,21136.0,1911.0,183011.0,269317.0,342.0,346.0,24203.0,14.130479692600092,14.026514861840312,1779.0,194.49128724002247,210.0007899617447
31,2021-09-12,17511,658.0,29975.0,2.195162635529608,2.586929076954869,15103.0,1358.0,182669.0,268971.0,321.0,337.0,24756.0,12.96655356277266,14.681377975941853,1677.0,200.9540846750149,216.50723988041497
32,2021-09-11,16597,649.0,30935.0,2.097947308873444,2.8433449060093765,13972.0,1502.0,182348.0,268634.0,302.0,345.0,26496.0,11.397946859903382,15.896975546441427,1717.0,200.93185789167154,228.75695682054774
33,2021-09-10,20527,680.0,32860.0,2.069385270846013,2.9886813757297737,17187.0,1971.0,182046.0,268289.0,345.0,331.0,27912.0,12.360275150472914,16.601774421043956,1748.0,189.35926773455378,235.23197078856865
