date,actual
26/09/2021,535
27/09/2021,617
28/09/2021,596
29/09/2021,625
30/09/2021,552
01/10/2021,520
02/10/2021,549
03/10/2021,577
04/10/2021,627
05/10/2021,658
06/10/2021,632
07/10/2021,634
08/10/2021,619
09/10/2021,613
10/10/2021,606
11/10/2021,685
12/10/2021,760
13/10/2021,752
14/10/2021,730
15/10/2021,752
16/10/2021,743
17/10/2021,828
18/10/2021,896
19/10/2021,894
20/10/2021,903
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
